fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ADRIAN YANEZ,17-6-0,11,2,7,42%,424,1018,0%,null,1,6.23,5.75,0.00,0.00,55%,82%,1.54,06:48,386,91%,6,1%,32,8%,303,71%,64,13%,65,15%,11,65%,4,24%,2,12%,https://www.ufc.com/athlete/adrian-yanez,Bantamweight
AIEMANN ZAHABI,13-2-0,6,2,8,47%,469,1002,14%,null,7,4.42,4.13,0.14,0.00,70%,84%,0.42,11:47,418,89%,19,4%,32,7%,350,75%,71,15%,48,10%,6,46%,5,38%,2,15%,https://www.ufc.com/athlete/aiemann-zahabi,Bantamweight
AJ CUNNINGHAM,11-5-0,4,4,5,29%,121,412,0%,null,3,4.22,6.31,0.00,0.52,48%,46%,0.00,09:34,118,98%,3,2%,0,0%,65,54%,35,29%,36,17%,4,36%,3,27%,4,36%,https://www.ufc.com/athlete/aj-cunningham,Bantamweight
ALEKSANDRE TOPURIA,6-1-0,3,2,5,52%,41,79,50%,1,2,2.73,2.53,1.00,0.00,70%,100%,0.00,15:00,35,85%,5,12%,1,2%,46,44%,46,46%,60,10%,3,60%,0,0%,2,40%,https://www.ufc.com/athlete/aleksandre-topuria,Bantamweight
ALLAN BEGOSSO,0-1-0,null,null,null,40%,27,67,null,null,null,1.80,7.73,0.00,2.00,34%,25%,0.00,15:00,12,44%,2,7%,13,48%,70,70%,19,19%,11,11%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/allan-begosso,Bantamweight
ANGEL PACHECO,7-3-0,5,2,5,39%,285,725,0%,null,1,9.50,11.47,0.00,0.00,41%,29%,0.00,15:00,243,85%,42,15%,0,0%,179,63%,91,32%,71,5%,5,71%,0,0%,2,29%,https://www.ufc.com/athlete/angel-pacheco,Bantamweight
AORIQILENG,25-11-0,8,1,8,50%,406,816,47%,4,15,4.65,5.46,1.20,0.00,49%,58%,0.34,10:55,340,84%,23,6%,43,11%,262,65%,97,24%,47,12%,8,32%,16,64%,1,4%,https://www.ufc.com/athlete/aoriqileng,Bantamweight
BEKZAT ALMAKHAN,12-2-0,9,1,5,41%,11,27,null,null,null,0.68,4.29,0.00,0.00,32%,null,1.87,08:02,9,82%,0,0%,2,18%,73,73%,27,27%,75,0%,9,75%,2,17%,1,8%,https://www.ufc.com/athlete/bekzat-almakhan,Bantamweight
BENARDO SOPAJ,12-3-0,7,3,7,56%,126,225,71%,3,7,4.24,4.88,2.53,0.00,50%,77%,0.51,14:51,69,55%,16,13%,41,33%,106,84%,11,7%,64,9%,7,64%,1,9%,3,27%,https://www.ufc.com/athlete/benardo-sopaj,Bantamweight
BRYCE MITCHELL,18-4-0,1,9,8,59%,315,530,36%,3,83,2.27,1.60,3.24,1.19,59%,33%,0.11,11:35,176,56%,24,8%,115,37%,183,58%,90,29%,42,13%,1,6%,8,44%,9,50%,https://www.ufc.com/athlete/bryce-mitchell,Bantamweight
CAMERON SAAIMAN,9-3-0,6,1,3,47%,358,764,29%,null,14,5.30,4.14,0.89,0.67,52%,47%,0.44,09:39,266,74%,23,6%,69,19%,196,55%,97,18%,97,27%,6,67%,2,22%,1,11%,https://www.ufc.com/athlete/cameron-saaiman,Bantamweight
CAMERON SMOTHERMAN,12-6-0,6,1,2,37%,187,503,null,null,null,4.07,3.52,0.00,0.00,59%,63%,0.00,11:30,178,95%,9,5%,0,0%,110,59%,71,38%,50,3%,6,50%,5,42%,1,8%,https://www.ufc.com/athlete/cameron-smotherman,Bantamweight
