fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
MUHAMMAD NAIMOV,13-3-0,6,2,5,41%,209,510,36%,null,25,2.61,3.45,1.69,0.19,45%,68%,0.19,11:25,144,69%,41,20%,24,11%,127,61%,47,22%,46,17%,6,46%,5,38%,2,15%,https://www.ufc.com/athlete/Muhammad-Naimov,Featherweight
AARON PICO,13-5-0,9,2,7,45%,13,29,67%,2,3,3.88,2.39,8.96,0.00,50%,null,0.00,03:21,7,54%,3,23%,3,23%,54,54%,38,38%,69,8%,9,69%,2,15%,2,15%,https://www.ufc.com/athlete/aaron-pico,Featherweight
ABDUL AZEEM BADAKHSHI,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/abdul-azeem-badakhshi,Featherweight
ALBERTO MONTES,1-0-0,null,null,null,67%,38,57,null,null,null,4.98,4.85,0.00,9.83,58%,67%,0.00,07:38,38,100%,0,0%,0,0%,74,74%,26,26%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/alberto-montes,Featherweight
ALEX GILPIN,10-1-0,null,null,null,54%,47,87,25%,null,4,6.80,12.29,2.17,2.17,43%,null,0.00,06:55,45,96%,1,2%,1,2%,96,96%,2,2%,2,2%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/aleks-munoz-0,Featherweight
ALEXANDER VOLKANOVSKI,27-4-0,13,3,7,57%,1717,3018,34%,16,90,6.18,3.36,1.67,0.16,59%,70%,0.32,16:21,1299,76%,151,9%,267,16%,1108,65%,424,11%,424,25%,13,48%,11,41%,3,11%,https://www.ufc.com/athlete/alexander-volkanovski,Featherweight
ALJAMAIN STERLING,25-5-0,3,8,4,53%,1361,2586,31%,21,163,4.45,2.21,2.45,0.64,60%,45%,0.00,13:54,916,67%,194,14%,251,18%,678,50%,431,32%,252,19%,3,12%,14,56%,8,32%,https://www.ufc.com/athlete/aljamain-sterling,Featherweight
ANDRE FILI,25-12-0,10,3,8,38%,1019,2708,45%,23,86,3.87,4.23,2.22,0.23,51%,72%,0.34,10:33,881,86%,60,6%,78,8%,742,73%,149,15%,128,13%,10,40%,12,48%,3,12%,https://www.ufc.com/athlete/andre-fili,Featherweight
ANVAR BOYNAZAROV,0-1-0,null,null,null,0%,0,2,null,null,null,0.00,7.83,0.00,0.00,29%,null,0.00,01:32,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/anvar-boynazarov,Featherweight
ARNOLD ALLEN,20-3-0,7,4,1,42%,611,1471,48%,8,23,3.45,2.88,0.93,0.34,62%,75%,0.25,13:37,549,90%,27,4%,35,6%,444,73%,121,20%,46,8%,7,35%,9,45%,4,20%,https://www.ufc.com/athlete/arnold-allen,Featherweight
AUSTIN BASHI,14-1-0,3,6,4,47%,47,99,41%,3,34,1.75,2.34,7.81,1.67,49%,63%,0.00,08:58,35,74%,11,23%,1,2%,60,60%,28,28%,21,13%,3,21%,5,36%,6,43%,https://www.ufc.com/athlete/austin-bashi,Featherweight
AUSTIN LINGO,9-3-0,3,2,5,38%,267,709,67%,1,3,3.86,4.86,0.43,0.00,57%,76%,0.43,13:50,264,99%,3,1%,0,0%,183,69%,66,25%,33,7%,3,33%,4,44%,2,22%,https://www.ufc.com/athlete/austin-lingo,Featherweight
BILLY QUARANTILLO,18-7-0,8,5,3,55%,990,1814,24%,1,54,7.44,5.83,1.47,1.02,43%,61%,0.23,11:05,664,67%,183,18%,143,14%,683,69%,233,24%,74,7%,8,44%,5,28%,5,28%,https://www.ufc.com/athlete/billy-quarantillo,Featherweight
BOGDAN GRAD,15-3-0,9,3,8,52%,181,349,36%,3,25,4.44,5.40,3.31,0.00,50%,75%,0.00,10:11,127,70%,20,11%,34,19%,110,61%,43,24%,60,15%,9,60%,3,20%,3,20%,https://www.ufc.com/athlete/bogdan-grad,Featherweight
BRIAN ORTEGA,16-5-0,3,8,4,37%,742,1987,25%,1,48,3.84,6.38,0.93,0.93,49%,55%,0.39,13:49,657,89%,49,7%,36,5%,528,71%,136,18%,78,11%,3,19%,5,31%,8,50%,https://www.ufc.com/athlete/brian-ortega,Featherweight
CALVIN KATTAR,23-10-0,11,2,10,38%,977,2573,29%,2,17,4.41,6.55,0.34,0.07,55%,77%,0.34,14:47,908,93%,16,2%,53,5%,760,78%,131,13%,86,9%,11,48%,10,43%,2,9%,https://www.ufc.com/athlete/calvin-kattar,Featherweight
CHAN SUNG JUNG,17-8-0,6,8,null,41%,678,1635,44%,5,18,3.93,4.52,0.70,0.61,52%,73%,0.43,12:20,529,78%,57,8%,92,14%,529,78%,81,12%,68,10%,6,35%,3,18%,8,47%,https://www.ufc.com/athlete/chan-sung-jung,Featherweight
CHARLES ROSA,14-8-0,3,8,9,36%,553,1524,35%,14,57,3.08,3.86,1.67,1.00,47%,38%,0.00,13:48,492,89%,23,4%,38,7%,307,56%,157,16%,157,28%,3,21%,3,21%,8,57%,https://www.ufc.com/athlete/charles-rosa,Featherweight
CHEPE MARISCAL,18-6-0,7,3,5,56%,338,603,39%,4,33,4.95,3.07,2.85,0.22,52%,73%,0.00,13:40,186,55%,77,23%,75,22%,225,67%,59,16%,59,17%,7,39%,8,44%,3,17%,https://www.ufc.com/athlete/chepe-mariscal,Featherweight
CHRISTIAN RODRIGUEZ,12-4-0,3,4,5,50%,497,992,41%,2,37,3.85,2.85,1.75,1.05,57%,67%,0.00,12:54,351,71%,83,17%,63,13%,371,75%,87,18%,39,8%,3,25%,5,42%,4,33%,https://www.ufc.com/athlete/ches-skelli-0,Featherweight
