fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ALDEN CORIA,11-3-0,5,4,3,44%,42,95,100%,2,2,3.89,1.11,2.78,0.00,79%,75%,0.00,10:47,29,69%,0,0%,13,31%,81,81%,17,2%,45,17%,5,45%,2,18%,4,36%,https://www.ufc.com/athlete/alden-coria,Flyweight
MITCH RAPOSO,9-3-0,4,3,4,34%,62,184,38%,1,24,1.62,3.20,3.54,0.00,55%,50%,0.00,12:44,58,94%,1,2%,3,5%,71,71%,21,21%,44,8%,4,44%,2,22%,3,33%,https://www.ufc.com/athlete/aleks-oliveyra-2,Flyweight
ALESSANDRO COSTA,14-5-0,5,6,8,45%,239,532,17%,null,12,3.64,3.57,0.46,0.46,57%,83%,0.69,10:56,185,77%,23,10%,31,13%,133,56%,59,20%,59,25%,5,36%,3,21%,6,43%,https://www.ufc.com/athlete/alessandro-costa,Flyweight
ALEX PEREZ,25-9-0,6,7,10,46%,370,798,46%,7,26,4.19,3.20,2.04,0.85,59%,77%,0.68,06:47,260,70%,55,15%,55,15%,224,61%,91,15%,91,25%,6,24%,12,48%,7,28%,https://www.ufc.com/athlete/alex-perez,Flyweight
ALEXANDRE PANTOJA,30-5-0,8,12,10,50%,935,1859,48%,3,84,4.36,3.88,2.80,0.98,50%,69%,0.28,12:37,759,81%,93,10%,83,9%,593,63%,201,21%,141,15%,8,27%,10,33%,12,40%,https://www.ufc.com/athlete/alexandre-pantoja,Flyweight
ALIBI IDIRIS,11-1-0,5,2,5,50%,28,56,0%,null,1,3.47,3.60,0.00,0.00,54%,60%,0.00,08:04,22,79%,6,21%,0,0%,61,32%,61,61%,45,7%,5,45%,4,36%,2,18%,https://www.ufc.com/athlete/alibi-idiris,Flyweight
ALLAN NASCIMENTO,21-6-0,2,14,12,60%,167,278,24%,null,25,2.64,1.96,1.42,0.95,51%,31%,0.00,12:39,123,74%,13,8%,31,19%,104,62%,37,16%,37,22%,2,10%,5,24%,14,67%,https://www.ufc.com/athlete/allan-nascimento,Flyweight
AMIR ALBAZI,17-2-0,5,9,9,35%,235,676,32%,3,25,2.72,3.71,1.39,0.52,62%,50%,0.35,14:25,202,86%,3,1%,30,13%,162,69%,40,17%,33,14%,5,29%,3,18%,9,53%,https://www.ufc.com/athlete/amir-albazi,Flyweight
ANDRE LIMA,11-0-0,5,null,4,60%,268,446,75%,1,8,4.06,2.49,1.36,1.14,58%,75%,0.00,13:11,227,85%,27,10%,14,5%,128,48%,85,21%,85,32%,5,45%,5,45%,1,9%,https://www.ufc.com/athlete/andre-lima,Flyweight
ASU ALMABAYEV,22-3-0,3,9,4,54%,174,322,43%,2,58,2.16,1.75,4.66,1.49,52%,50%,0.19,13:25,104,60%,19,11%,51,29%,89,51%,43,25%,42,24%,3,14%,10,45%,9,41%,https://www.ufc.com/athlete/assu-almabayev,Flyweight
AZAT MAKSUM,15-2-0,4,6,5,29%,146,511,28%,2,25,3.24,5.00,2.33,0.33,52%,86%,0.33,15:00,127,87%,19,13%,0,0%,98,67%,38,26%,27,7%,4,27%,5,33%,6,40%,https://www.ufc.com/athlete/azat-maksum,Flyweight
BILLY PASULATAN,0-1-0,null,null,null,20%,2,10,null,null,null,0.65,5.22,0.00,4.89,48%,null,0.00,03:04,2,100%,0,0%,0,0%,50,50%,50,50%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/billy-pasulatan,Flyweight
BRANDON MORENO,23-8-2,5,11,8,44%,1220,2761,44%,12,70,3.96,3.62,1.51,0.39,61%,64%,0.19,17:08,1071,88%,62,5%,87,7%,910,75%,192,16%,118,10%,5,22%,7,30%,11,48%,https://www.ufc.com/athlete/brandon-moreno,Flyweight
BRANDON ROYVAL,17-8-0,4,9,10,41%,751,1823,75%,2,8,5.55,4.23,0.67,1.11,43%,45%,0.33,12:18,657,87%,36,5%,58,8%,590,79%,113,15%,48,6%,4,24%,4,24%,9,53%,https://www.ufc.com/athlete/brandon-royval,Flyweight
BRUNO SILVA,14-7-2,6,4,4,50%,353,713,24%,2,46,3.83,4.81,1.79,0.16,50%,60%,0.98,10:15,287,81%,24,7%,42,12%,196,56%,80,23%,77,22%,6,43%,4,29%,4,29%,https://www.ufc.com/athlete/bruno-silva,Flyweight
CARLOS CANDELARIO,8-3-0,2,3,4,47%,209,446,36%,2,22,3.97,5.17,2.28,0.28,44%,54%,0.00,13:10,141,67%,16,8%,52,25%,131,63%,43,21%,35,17%,2,25%,3,38%,3,38%,https://www.ufc.com/athlete/carlos-candelario,Flyweight
CHARLES JOHNSON,18-7-0,8,3,4,50%,754,1511,21%,null,29,4.73,3.78,0.56,0.38,57%,67%,0.38,13:17,619,82%,96,13%,39,5%,380,50%,214,28%,160,21%,8,44%,7,39%,3,17%,https://www.ufc.com/athlete/charles-johnson,Flyweight
CLAYTON CARPENTER,8-1-0,2,4,4,55%,158,287,46%,null,13,3.91,2.75,2.23,1.48,55%,43%,0.00,10:06,104,66%,10,6%,44,28%,97,61%,41,13%,41,26%,2,25%,2,25%,4,50%,https://www.ufc.com/athlete/clayton-carpenter,Flyweight
CODY DURDEN,17-8-1,6,6,9,45%,425,948,48%,9,71,3.44,4.35,4.13,0.73,50%,73%,0.12,09:30,358,84%,16,4%,51,12%,311,73%,58,14%,56,13%,6,35%,5,29%,6,35%,https://www.ufc.com/athlete/cody-durden,Flyweight
DANIEL LACERDA,11-6-0,5,6,10,46%,102,224,50%,null,8,3.95,8.28,2.32,1.16,35%,null,1.74,04:19,81,79%,6,6%,15,15%,57,56%,25,25%,45,20%,5,45%,0,0%,6,55%,https://www.ufc.com/athlete/daniel-da-silva,Flyweight
DAVI COSTA,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/davi-costa,Flyweight
DAVID DVORAK,20-6-0,8,8,10,43%,269,625,30%,null,10,3.48,3.29,0.58,0.19,60%,70%,0.00,12:53,231,86%,30,11%,8,3%,137,51%,74,22%,74,28%,8,40%,4,20%,8,40%,https://www.ufc.com/athlete/david-dvorak,Flyweight
DENYS BONDAR,14-5-0,4,9,11,51%,121,238,58%,1,12,4.59,5.16,3.99,0.00,57%,63%,0.00,08:47,104,86%,10,8%,7,6%,61,50%,37,31%,29,19%,4,29%,1,7%,9,64%,https://www.ufc.com/athlete/denys-bondar,Flyweight
DONGHUN CHOI,3-0-0,3,null,null,66%,148,223,14%,null,7,4.54,3.13,0.46,0.00,59%,82%,0.92,10:52,142,96%,5,3%,1,1%,63,43%,60,17%,60,41%,3,38%,5,63%,0,0%,https://www.ufc.com/athlete/donghun-choi,Flyweight
EDGAR CHAIREZ,12-6-0,4,8,9,44%,184,414,0%,null,2,3.44,5.08,0.00,1.68,43%,33%,0.28,08:56,178,97%,3,2%,3,2%,102,55%,54,15%,54,29%,4,33%,0,0%,8,67%,https://www.ufc.com/athlete/edgar-chairez,Flyweight
EMILIO CUELLAR,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/emilio-cuellar,Flyweight
FELIPE BUNES,14-8-0,2,9,9,51%,78,154,22%,2,9,2.93,4.66,1.13,2.26,45%,40%,0.00,08:52,76,97%,2,3%,0,0%,59,59%,21,21%,21,21%,2,14%,3,21%,9,64%,https://www.ufc.com/athlete/felipe-bunes,Flyweight
ERISSON FERREIRA,1-1-0,null,null,null,32%,47,145,100%,null,2,1.75,2.75,1.11,1.67,56%,67%,0.00,13:28,31,66%,8,17%,8,17%,64,64%,23,23%,13,13%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/filipe-lins-2,Flyweight
HYUNSUNG PARK,10-1-0,4,5,5,46%,138,300,33%,1,12,3.66,2.94,1.59,2.39,60%,50%,0.80,06:17,106,77%,11,8%,21,15%,84,61%,35,14%,40,25%,4,40%,1,10%,5,50%,https://www.ufc.com/athlete/hyunsung-park,Flyweight
IGOR SEVERINO,8-1-0,4,4,3,52%,111,212,71%,5,14,7.17,4.33,9.69,0.00,48%,50%,1.94,07:45,71,64%,4,4%,36,32%,83,75%,16,14%,50,11%,4,50%,0,0%,4,50%,https://www.ufc.com/athlete/igor-severino,Flyweight
JACOB SILVA,0-2-0,null,null,null,45%,83,186,100%,null,2,4.17,4.92,1.51,0.00,57%,67%,0.00,09:57,73,88%,6,7%,4,5%,67,67%,23,23%,10,10%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/jacob-silva,Flyweight
JAFEL FILHO,16-4-0,5,10,8,42%,94,224,42%,null,19,1.92,1.63,2.45,2.15,48%,67%,0.31,09:47,58,62%,7,7%,29,31%,59,59%,26,26%,31,16%,5,31%,1,6%,10,63%,https://www.ufc.com/athlete/jafel-filho,Flyweight
JAIME ALVAREZ,7-1-0,null,null,null,40%,41,102,33%,null,3,2.73,4.53,1.00,0.00,57%,50%,0.00,15:00,26,63%,0,0%,15,37%,59,59%,27,15%,57,27%,4,57%,2,29%,1,14%,https://www.ufc.com/athlete/jaime-alvarez,Flyweight
JESUS AGUILAR,12-3-0,1,7,4,40%,170,420,32%,null,22,2.65,1.85,1.64,1.40,63%,49%,0.23,09:10,133,78%,18,11%,19,11%,94,55%,40,21%,40,24%,1,8%,4,33%,7,58%,https://www.ufc.com/athlete/jesus-aguilar,Flyweight
JHONATA SILVA,0-1-0,null,null,null,53%,37,70,null,null,null,4.86,9.85,0.00,0.00,44%,null,0.00,07:37,36,97%,1,3%,0,0%,51,51%,46,46%,3,3%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/jhonata-silva,Flyweight
JOAO ELIAS,0-1-0,null,null,null,50%,3,6,null,null,null,0.40,6.47,0.00,0.00,20%,50%,0.00,07:25,3,100%,0,0%,0,0%,67,0%,67,67%,33,33%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/joao-elias,Flyweight
JOSE OCHOA,8-2-0,7,1,4,38%,106,282,50%,null,2,3.01,2.33,0.43,1.28,61%,59%,0.43,11:44,90,85%,13,12%,3,3%,39,37%,34,31%,88,32%,7,88%,0,0%,1,13%,https://www.ufc.com/athlete/jose-ochoa,Flyweight
JOSEPH MORALES,14-2-0,2,6,1,40%,74,184,43%,null,7,2.02,2.11,1.23,2.87,57%,29%,0.41,09:09,42,57%,11,15%,21,28%,62,62%,31,31%,15,7%,2,15%,5,38%,6,46%,https://www.ufc.com/athlete/joseph-morales,Flyweight
JOSHUA VAN,15-2-0,7,2,2,57%,1097,1931,64%,null,11,8.86,6.36,0.85,0.00,58%,81%,0.61,13:46,964,88%,85,8%,48,4%,772,70%,223,20%,102,9%,7,47%,6,40%,2,13%,https://www.ufc.com/athlete/joshua-van,Flyweight
JUAN ANDRES LUNA,0-1-0,null,null,null,32%,49,155,0%,null,4,3.27,3.00,0.00,0.00,66%,null,0.00,15:00,49,100%,0,0%,0,0%,55,55%,31,31%,14,14%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/juan-andres-luna,Flyweight
JUANCAMILO RONDEROS,4-2-0,null,2,null,31%,12,39,33%,null,3,2.18,2.18,2.72,0.00,64%,null,0.00,02:46,9,75%,3,25%,0,0%,42,42%,42,17%,42,42%,0,0%,2,50%,2,50%,https://www.ufc.com/athlete/juancamilo-ronderos,Flyweight
JUNG HYUN LEE,0-1-0,null,null,null,40%,64,161,null,null,null,4.27,6.20,0.00,0.00,39%,65%,0.00,15:00,46,72%,18,28%,0,0%,59,59%,25,16%,25,25%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/jung-hyun-lee,Flyweight
KAI ASAKURA,21-6-0,13,3,12,33%,38,116,null,null,null,2.27,3.53,0.00,0.00,52%,50%,0.00,08:22,38,100%,0,0%,0,0%,71,71%,21,21%,62,8%,13,62%,5,24%,3,14%,https://www.ufc.com/athlete/kai-asakura,Flyweight
KAI KARA-FRANCE,25-12-0,12,3,13,40%,712,1769,30%,null,20,4.46,3.24,0.56,0.00,64%,84%,0.75,12:17,612,86%,16,2%,84,12%,455,64%,153,15%,153,21%,12,48%,10,40%,3,12%,https://www.ufc.com/athlete/kai-kara-france,Flyweight
KEVIN BORJAS,10-4-0,8,null,5,44%,279,632,0%,null,10,4.19,5.74,0.00,0.00,50%,71%,0.23,13:19,263,94%,12,4%,4,1%,221,79%,35,13%,80,8%,8,80%,2,20%,0,0%,https://www.ufc.com/athlete/kevin-borjas,Flyweight
KYOJI HORIGUCHI,18-2-0,null,null,null,45%,406,900,44%,15,34,3.60,2.45,2.00,0.00,62%,55%,0.53,14:05,273,67%,70,17%,63,16%,295,73%,79,19%,41,8%,9,41%,7,32%,6,27%,https://www.ufc.com/athlete/kyoji-horiguchi,Flyweight
MUHAMMAD MOKAEV,13-0-0,2,6,3,45%,142,313,41%,null,75,1.61,1.35,5.29,0.85,58%,25%,0.17,12:34,101,71%,7,5%,34,24%,76,54%,45,32%,21,15%,2,15%,5,38%,6,46%,https://www.ufc.com/athlete/liana-dzhodzhua-0,Flyweight
LONE’ER KAVANAGH,9-1-0,4,1,2,50%,180,361,50%,null,10,4.29,3.69,1.79,0.36,58%,89%,0.36,10:30,144,80%,10,6%,26,14%,96,53%,49,27%,44,19%,4,44%,4,44%,1,11%,https://www.ufc.com/athlete/loneer-kavanagh,Flyweight
LU ZHENGYONG,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/lu-zhengyong,Flyweight
