fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ALEXANDER SOLDATKIN,0-1-0,null,null,null,60%,12,20,50%,null,2,1.16,1.35,1.45,0.00,26%,50%,0.00,10:20,4,33%,7,58%,1,8%,50,50%,50,50%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/alexander-soldatkin,Heavyweight
ALEXANDER VOLKOV,38-11-0,24,4,17,57%,1224,2135,67%,5,15,4.97,2.99,0.61,0.24,54%,72%,0.24,12:57,1002,82%,149,12%,73,6%,726,59%,287,23%,211,17%,24,63%,10,26%,4,11%,https://www.ufc.com/athlete/alexander-volkov,Heavyweight
ALVIN HINES,7-1-0,3,3,2,32%,82,259,10%,1,10,5.47,7.47,1.00,0.00,38%,null,0.00,15:00,80,98%,2,2%,0,0%,68,68%,26,26%,43,6%,3,43%,1,14%,3,43%,https://www.ufc.com/athlete/alvin-hines,Heavyweight
ANTE DELIJA,26-6-0,13,6,15,46%,13,28,null,null,null,6.34,1.95,0.00,0.00,56%,null,7.32,02:03,9,69%,0,0%,4,31%,100,100%,0,0%,50,0%,13,50%,7,27%,6,23%,https://www.ufc.com/athlete/ante-delija,Heavyweight
AUSTEN LANE,13-7-0,11,1,9,51%,108,212,29%,null,14,2.74,2.23,1.52,0.00,41%,33%,0.38,04:56,80,74%,1,1%,27,25%,63,58%,26,24%,85,18%,11,85%,1,8%,1,8%,https://www.ufc.com/athlete/austen-lane,Heavyweight
BRANDO PERIČIĆ,5-1-0,4,1,5,59%,29,49,null,null,null,15.13,1.57,0.00,0.00,67%,100%,0.00,01:55,11,38%,12,41%,6,21%,79,79%,14,7%,80,14%,4,80%,0,0%,1,20%,https://www.ufc.com/athlete/brando-pericic,Heavyweight
BRANDON SAYLES,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/brandon-sayles,Heavyweight
CHANDLER COLE,0-1-0,null,null,null,60%,15,25,0%,null,1,2.45,3.59,0.00,0.00,27%,null,0.00,06:08,15,100%,0,0%,0,0%,33,27%,40,33%,40,40%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/chandler-cole,Heavyweight
CHRIS BARNETT,23-9-0,18,null,8,47%,160,339,0%,null,2,4.21,6.53,0.00,0.00,39%,33%,0.39,07:36,112,70%,11,7%,37,23%,96,60%,47,11%,78,29%,18,78%,5,22%,0,0%,https://www.ufc.com/athlete/chris-barnett,Heavyweight
CIRYL GANE,13-2-0,6,3,3,61%,899,1467,25%,null,32,5.26,2.23,0.70,0.61,62%,44%,0.26,14:15,807,90%,65,7%,27,3%,391,43%,260,28%,260,29%,6,46%,4,31%,3,23%,https://www.ufc.com/athlete/ciryl-gane,Heavyweight
COLTIN COLE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/coltin-cole-0,Heavyweight
CORY CORBIN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/cory-corbin,Heavyweight
CURTIS BLAYDES,19-5-0,13,null,3,51%,635,1250,49%,33,131,3.56,2.00,5.38,0.00,59%,32%,0.17,08:56,309,49%,85,13%,241,38%,434,68%,129,11%,129,20%,13,68%,6,32%,0,0%,https://www.ufc.com/athlete/curtis-blaydes,Heavyweight
DANILO SUZART,0-1-0,null,null,null,56%,15,27,null,null,null,4.09,11.73,0.00,0.00,52%,null,0.00,03:40,12,80%,3,20%,0,0%,53,53%,47,47%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/danilo-suzart,Heavyweight
DERRICK LEWIS,29-12-0,24,null,10,51%,667,1311,26%,5,38,2.51,2.49,0.56,0.00,41%,53%,0.62,08:52,260,39%,123,18%,284,43%,527,79%,111,17%,83,4%,24,83%,4,14%,1,3%,https://www.ufc.com/athlete/derrick-lewis,Heavyweight
