fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ABDULRAKHMAN YAKHYAEV,1-0-0,null,null,null,89%,16,18,null,null,null,32.00,2.00,0.00,0.00,67%,100%,30.00,00:30,6,38%,1,6%,9,56%,81,81%,13,13%,6,6%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/abdulrakhman-yakhyaev,Light Heavyweight
ALEKSA CAMUR,6-3-0,5,null,3,57%,311,545,22%,1,9,4.73,4.26,0.46,0.00,54%,50%,0.23,13:10,220,71%,63,20%,28,9%,183,59%,94,30%,83,11%,5,83%,1,17%,0,0%,https://www.ufc.com/athlete/aleksa-camur,Light Heavyweight
ALEKSANDAR RAKIĆ,14-5-0,9,1,8,50%,476,950,24%,3,21,4.16,2.91,0.66,0.13,51%,86%,0.52,11:26,315,66%,46,10%,115,24%,254,53%,149,15%,149,31%,9,64%,4,29%,1,7%,https://www.ufc.com/athlete/aleksandar-rakic,Light Heavyweight
ALEX PEREIRA,13-3-0,11,null,5,62%,685,1103,50%,null,2,5.16,3.50,0.11,0.23,54%,79%,0.79,11:04,554,81%,72,11%,59,9%,323,47%,183,26%,183,27%,11,85%,2,15%,0,0%,https://www.ufc.com/athlete/alex-pereira,Light Heavyweight
ALONZO MENIFIELD,17-5-1,10,3,10,53%,568,1066,31%,null,16,3.79,3.76,0.50,0.20,51%,78%,0.60,07:53,426,75%,76,13%,66,12%,463,82%,57,10%,59,8%,10,59%,4,24%,3,18%,https://www.ufc.com/athlete/alonzo-menifield,Light Heavyweight
ARTEM VAKHITOV,1-0-0,null,null,null,85%,17,20,0%,null,2,3.88,0.68,0.00,0.00,80%,100%,3.42,04:23,10,59%,6,35%,1,6%,59,59%,41,41%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/artem-vakhitov,Light Heavyweight
AZAMAT MURZAKANOV,15-0-0,11,1,9,58%,255,440,15%,1,13,4.93,2.86,0.58,0.00,62%,83%,1.74,08:38,171,67%,14,5%,70,27%,179,70%,65,25%,73,4%,11,73%,3,20%,1,7%,https://www.ufc.com/athlete/azamat-murzakanov,Light Heavyweight
BILLY ELEKANA,8-2-0,3,1,3,57%,55,96,25%,1,4,2.34,3.18,0.64,0.00,50%,null,0.00,11:47,48,87%,0,0%,7,13%,65,65%,35,35%,38,0%,3,38%,4,50%,1,13%,https://www.ufc.com/athlete/billy-elekana,Light Heavyweight
BOGDAN GUSKOV,18-3-0,15,3,13,51%,58,113,null,null,null,3.87,3.40,0.00,0.00,50%,50%,0.00,15:00,49,84%,9,16%,0,0%,43,43%,43,43%,83,14%,15,83%,0,0%,3,17%,https://www.ufc.com/athlete/bogdan-guskov,Light Heavyweight
BRENDSON RIBEIRO,17-9-0,9,7,11,43%,153,360,43%,null,7,3.06,4.00,0.90,0.60,53%,18%,0.60,07:09,145,95%,3,2%,5,3%,91,59%,34,18%,53,22%,9,53%,1,6%,7,41%,https://www.ufc.com/athlete/brendson-ribeiro,Light Heavyweight
BRUNO LOPES,14-2-0,6,5,7,43%,84,195,33%,5,15,2.81,3.38,2.51,0.00,58%,100%,0.00,07:28,57,68%,24,29%,3,4%,61,61%,23,23%,43,17%,6,43%,3,21%,5,36%,https://www.ufc.com/athlete/bruno-lopes,Light Heavyweight
BRUNO OLIVEIRA,0-1-0,null,null,null,33%,7,21,null,null,null,3.44,4.92,0.00,0.00,55%,null,0.00,02:02,7,100%,0,0%,0,0%,29,29%,71,0%,71,71%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/bruno-oliveira,Light Heavyweight
CARLOS ULBERG,14-1-0,8,1,7,55%,536,967,60%,2,5,6.54,4.04,0.55,0.18,52%,86%,1.28,07:27,482,90%,23,4%,31,6%,322,60%,124,17%,124,23%,8,57%,5,36%,1,7%,https://www.ufc.com/athlete/carlos-ulberg,Light Heavyweight
CHRIS DAUKAUS,12-7-0,11,null,8,50%,154,308,0%,null,1,6.05,4.64,0.00,0.00,55%,100%,3.54,03:11,110,71%,13,8%,31,20%,133,86%,12,8%,92,6%,11,92%,1,8%,0,0%,https://www.ufc.com/athlete/chris-daukaus,Light Heavyweight
CODY BELISLE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/cody-belisle,Light Heavyweight
DAKOTA WEIGHER,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/dakota-weigher,Light Heavyweight
DANIEL SPOHN,16-5-0,null,null,null,49%,44,89,0%,null,1,2.42,1.60,0.00,2.48,54%,29%,0.00,09:05,25,57%,11,25%,8,18%,75,75%,18,18%,44,7%,7,44%,5,31%,4,25%,https://www.ufc.com/athlete/daniel-spohn,Light Heavyweight
