fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ABDUL-KAREEM AL-SELWADY,15-4-0,8,2,6,35%,107,309,31%,3,13,4.14,3.60,2.32,0.00,59%,20%,0.00,12:55,102,95%,5,5%,0,0%,60,56%,30,16%,53,28%,8,53%,5,33%,2,13%,https://www.ufc.com/athlete/abdul-kareem-al-selwady,Lightweight
AL IAQUINTA,14-7-1,7,1,null,41%,774,1909,19%,8,43,4.06,4.53,0.63,0.24,61%,74%,0.55,12:42,715,92%,31,4%,28,4%,521,67%,145,19%,108,14%,7,50%,6,43%,1,7%,https://www.ufc.com/athlete/al-iaquinta,Lightweight
ALEX REYES,13-5-0,9,4,11,47%,89,191,29%,null,7,4.46,6.92,1.50,0.00,48%,null,0.00,06:39,67,75%,21,24%,1,1%,44,44%,30,30%,69,26%,9,69%,0,0%,4,31%,https://www.ufc.com/athlete/alex-reyes,Lightweight
ALEXANDER HERNANDEZ,18-8-0,8,2,8,41%,739,1806,36%,4,36,4.31,4.50,1.14,0.09,59%,73%,0.52,10:05,620,84%,61,8%,58,8%,398,54%,236,32%,105,14%,8,44%,8,44%,2,11%,https://www.ufc.com/athlete/alexander-hernandez,Lightweight
ANSHUL JUBLI,7-2-0,2,1,2,46%,238,516,18%,2,11,6.42,5.72,0.81,0.40,50%,64%,0.40,09:16,189,79%,17,7%,32,13%,160,67%,61,26%,29,7%,2,29%,4,57%,1,14%,https://www.ufc.com/athlete/anshul-jubli,Lightweight
ANTHONY ROMERO,1-0-0,null,null,null,53%,88,167,22%,null,9,5.87,4.00,2.00,0.00,66%,100%,0.00,15:00,86,98%,1,1%,1,1%,58,58%,30,13%,30,30%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/anthony-romero,Lightweight
ARMAN TSARUKYAN,22-3-0,9,5,8,49%,525,1073,37%,3,81,3.79,1.84,3.25,0.00,54%,75%,0.32,12:36,331,63%,40,8%,154,29%,343,65%,121,23%,61,12%,9,41%,8,36%,5,23%,https://www.ufc.com/athlete/arman-tsarukyan,Lightweight
ASIKEERBAI JINENSIBIEKE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.ufc.com/athlete/asikeerbai-jinensibieke,Lightweight
AUSTIN TWEEDY,8-2-0,null,null,null,67%,2,3,null,null,null,4.29,6.43,0.00,0.00,null,null,0.00,00:28,2,100%,0,0%,0,0%,0,0%,100,0%,100,100%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/austin-tweedy,Lightweight
BENEIL DARIUSH,23-6-1,5,8,8,49%,830,1687,38%,9,81,3.78,2.61,2.12,0.82,58%,82%,0.48,09:10,556,67%,127,15%,147,18%,503,61%,190,23%,137,17%,5,22%,10,43%,8,35%,https://www.ufc.com/athlete/beneil-dariush,Lightweight
KING GREEN,32-17-1,11,9,11,53%,1971,3723,40%,6,63,6.40,3.72,1.22,0.29,62%,74%,0.29,10:51,1600,81%,209,11%,162,8%,1169,59%,489,25%,313,16%,11,34%,12,38%,9,28%,https://www.ufc.com/athlete/bobby-green,Lightweight
BOLAJI OKI,10-3-0,5,1,4,44%,294,664,60%,1,5,6.59,5.15,1.01,0.00,61%,67%,0.67,08:56,277,94%,8,3%,9,3%,215,73%,59,20%,50,7%,5,50%,4,40%,1,10%,https://www.ufc.com/athlete/bolaji-oki,Lightweight
BRAD RIDDELL,10-4-0,5,null,null,54%,360,671,36%,1,25,4.71,3.53,1.77,0.00,54%,63%,0.20,10:55,297,83%,16,4%,47,13%,233,65%,80,22%,50,13%,5,50%,5,50%,0,0%,https://www.ufc.com/athlete/brad-riddell,Lightweight
CARL DEATON,17-7-0,3,9,9,32%,38,120,0%,null,2,1.53,1.85,0.00,0.00,61%,50%,0.00,12:28,37,97%,1,3%,0,0%,79,79%,21,21%,18,0%,3,18%,5,29%,9,53%,https://www.ufc.com/athlete/carl-deaton,Lightweight
CHARLES OLIVEIRA,35-11-0,10,21,null,55%,893,1616,39%,26,99,3.41,3.26,2.23,2.63,49%,56%,0.46,07:30,526,59%,170,19%,197,22%,524,59%,236,26%,133,15%,10,29%,4,11%,21,60%,https://www.ufc.com/athlete/charles-oliveira,Lightweight
CHARLIE CAMPBELL,9-3-0,6,null,3,51%,128,251,36%,null,11,5.23,4.17,2.45,0.00,56%,63%,0.61,06:07,103,80%,22,17%,3,2%,62,48%,34,27%,67,25%,6,67%,3,33%,0,0%,https://www.ufc.com/athlete/charlie-campbell,Lightweight
CHASE HOOPER,16-4-1,4,8,6,50%,572,1146,33%,1,63,4.51,2.98,2.49,2.13,40%,55%,0.12,09:45,316,55%,72,13%,184,32%,410,72%,108,19%,54,9%,4,25%,4,25%,8,50%,https://www.ufc.com/athlete/chase-hooper,Lightweight
CHRIS PADILLA,16-6-0,8,5,10,52%,119,229,30%,3,10,4.13,3.68,1.56,0.52,58%,100%,0.00,09:36,106,89%,12,10%,1,1%,62,52%,42,13%,50,35%,8,50%,3,19%,5,31%,https://www.ufc.com/athlete/chris-padilla,Lightweight
CHRISTIAN LOHSEN,0-0-0,null,null,null,49%,79,160,0%,null,10,5.27,6.93,0.00,2.00,44%,null,0.00,15:00,72,91%,3,4%,4,5%,85,85%,10,10%,5,5%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/christian-lohsen,Lightweight
CLAUDIO PUELLES,13-5-0,2,7,3,47%,161,345,34%,null,68,1.54,2.62,3.29,1.00,48%,60%,0.00,11:39,90,56%,10,6%,61,38%,100,62%,52,32%,15,6%,2,15%,4,31%,7,54%,https://www.ufc.com/athlete/claudio-puelles,Lightweight
