fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ABUS MAGOMEDOV,28-7-1,14,7,15,48%,218,452,57%,null,21,3.21,3.68,2.65,0.22,56%,100%,0.22,11:19,195,89%,7,3%,16,7%,124,57%,65,30%,50,13%,14,50%,7,25%,7,25%,https://www.ufc.com/athlete/abner-lloveras-1,Middleweight
ANDRE MUNIZ,24-8-0,4,15,15,50%,205,414,49%,3,55,2.04,2.33,4.02,1.19,51%,36%,0.00,09:09,164,80%,11,5%,30,15%,133,65%,38,19%,34,17%,4,17%,5,21%,15,63%,https://www.ufc.com/athlete/andre-muniz,Middleweight
ANDREY PULYAEV,10-3-0,5,2,5,60%,139,230,17%,null,6,3.81,3.51,0.41,0.00,48%,64%,0.41,12:10,96,69%,29,21%,14,10%,95,68%,35,25%,56,6%,5,56%,2,22%,2,22%,https://www.ufc.com/athlete/andrey-pulyaev,Middleweight
ANTHONY HERNANDEZ,15-2-0,3,9,5,63%,575,914,49%,null,111,4.59,2.53,6.46,1.79,50%,68%,0.12,10:27,253,44%,78,14%,244,42%,479,83%,63,11%,33,6%,3,20%,3,20%,9,60%,https://www.ufc.com/athlete/ansoni-herunantesu,Middleweight
ANTONIO TROCOLI,12-5-0,3,5,3,50%,23,46,11%,null,9,1.29,5.79,0.84,0.84,24%,50%,0.00,05:56,18,78%,5,22%,0,0%,52,39%,52,52%,25,9%,3,25%,4,33%,5,42%,https://www.ufc.com/athlete/antonio-silva-0,Middleweight
ATEBA GAUTIER,9-1-0,8,null,7,62%,95,154,null,null,null,6.93,2.19,0.00,0.00,52%,91%,3.28,04:34,53,56%,14,15%,28,29%,85,85%,14,14%,89,1%,8,89%,1,11%,0,0%,https://www.ufc.com/athlete/ateba-gautier,Middleweight
AZAMAT BEKOEV,20-3-0,8,8,10,61%,44,72,33%,1,3,7.59,4.48,2.59,0.00,47%,100%,5.17,02:54,20,45%,5,11%,19,43%,84,84%,11,11%,40,5%,8,40%,4,20%,8,40%,https://www.ufc.com/athlete/azamat-bekoev,Middleweight
BAISANGUR SUSURKAEV,10-0-0,8,null,7,58%,46,79,29%,2,7,4.56,2.88,2.98,1.49,58%,100%,1.49,05:03,29,63%,5,11%,12,26%,61,61%,22,22%,80,17%,8,80%,1,10%,1,10%,https://www.ufc.com/athlete/baisangur-susurkaev,Middleweight
BO NICKAL,7-1-0,2,4,5,59%,85,143,53%,1,15,2.36,2.11,3.34,2.92,59%,100%,0.42,05:08,67,79%,6,7%,12,14%,54,54%,24,24%,29,22%,2,29%,1,14%,4,57%,https://www.ufc.com/athlete/bo-nickal,Middleweight
BRAD TAVARES,21-12-0,5,2,5,43%,1195,2758,27%,16,63,3.42,3.36,0.73,0.00,55%,81%,0.17,12:56,1018,85%,136,11%,41,3%,709,59%,290,16%,290,24%,5,24%,14,67%,2,10%,https://www.ufc.com/athlete/brad-tavares,Middleweight
BRENDAN ALLEN,25-7-0,5,14,11,53%,737,1387,41%,2,51,3.85,3.96,1.65,1.18,48%,57%,0.31,10:38,576,78%,51,7%,110,15%,477,65%,162,22%,98,13%,5,20%,6,24%,14,56%,https://www.ufc.com/athlete/brendan-allen,Middleweight
BRUNNO FERREIRA,14-2-0,9,5,11,51%,147,291,29%,null,14,3.41,3.34,1.39,1.04,51%,57%,1.39,05:23,125,85%,10,7%,12,8%,98,67%,30,20%,64,13%,9,64%,0,0%,5,36%,https://www.ufc.com/athlete/brunno-ferreira,Middleweight
BRYAN BARBERENA,18-12-0,11,2,4,48%,1191,2479,22%,2,9,5.35,4.59,0.13,0.27,44%,50%,0.40,11:43,897,75%,202,17%,92,8%,833,70%,200,13%,200,17%,11,61%,5,28%,2,11%,https://www.ufc.com/athlete/bryan-barberena,Middleweight
CAM ROWSTON,13-3-0,5,7,7,46%,70,153,50%,null,2,3.39,2.37,0.73,0.73,49%,29%,2.18,06:53,51,73%,14,20%,5,7%,71,71%,17,17%,38,11%,5,38%,1,8%,7,54%,https://www.ufc.com/athlete/cameron-rowston,Middleweight
