S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Total persons,Child_count ,child_density_per_100
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011106,Brunswick East,557,430,370,14438,1357,9.3988
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011107,Brunswick West,699,640,604,15644,1943,12.4201
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011109,Pascoe Vale South,539,656,718,10869,1913,17.6005
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011495,Brunswick - North,572,374,463,14595,1409,9.6540
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011496,Brunswick - South,551,357,322,15190,1230,8.0974
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011497,Coburg - East,667,509,556,13966,1732,12.4015
Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011498,Coburg - West,776,794,736,14835,2306,15.5443
Victoria,206,Melbourne - Inner,20602,Darebin - South,206021110,Alphington - Fairfield,464,483,485,9688,1432,14.7812
Victoria,206,Melbourne - Inner,20602,Darebin - South,206021112,Thornbury,981,877,935,19982,2793,13.9776
Victoria,206,Melbourne - Inner,20602,Darebin - South,206021499,Northcote - East,705,715,791,15920,2211,13.8882
Victoria,206,Melbourne - Inner,20602,Darebin - South,206021500,Northcote - West,449,474,530,10953,1453,13.2658
Victoria,206,Melbourne - Inner,20603,Essendon,206031113,Ascot Vale,968,870,813,16154,2651,16.4108
Victoria,206,Melbourne - Inner,20603,Essendon,206031115,Flemington,521,410,327,10290,1258,12.2255
Victoria,206,Melbourne - Inner,20603,Essendon,206031116,Moonee Ponds,741,813,729,17823,2283,12.8093
Victoria,206,Melbourne - Inner,20603,Essendon,206031501,Essendon (West) - Aberfeldie,711,818,988,17156,2517,14.6713
Victoria,206,Melbourne - Inner,20603,Essendon,206031502,Essendon - East,480,548,623,12946,1651,12.7530
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041117,Carlton,275,215,264,23954,754,3.1477
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041118,Docklands,632,430,253,18567,1315,7.0825
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041119,East Melbourne,119,84,96,5222,299,5.7258
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041120,Flemington Racecourse,1,0,0,78,1,1.2821
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041121,Kensington (Vic.),586,480,433,11699,1499,12.8131
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041124,Parkville,170,127,120,8293,417,5.0283
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041125,South Yarra - West,226,218,149,6946,593,8.5373
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041127,West Melbourne - Industrial,0,0,0,0,0,0.0000
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041503,Melbourne CBD - East,182,135,93,13697,410,2.9934
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041504,Melbourne CBD - North,235,128,138,23579,501,2.1248
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041505,Melbourne CBD - West,268,168,130,21528,566,2.6291
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041506,North Melbourne,575,501,596,19221,1672,8.6988
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041507,Royal Botanic Gardens Victoria,0,0,0,0,0,0.0000
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041508,Southbank (West) - South Wharf,208,140,136,7866,484,6.1531
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041509,Southbank - East,427,291,206,19428,924,4.7560
Victoria,206,Melbourne - Inner,20604,Melbourne City,206041510,West Melbourne - Residential,231,187,227,9301,645,6.9347
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051128,Albert Park,681,677,735,17184,2093,12.1799
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051129,Elwood,677,524,618,15961,1819,11.3965
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051130,Port Melbourne,738,783,737,16884,2258,13.3736
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051134,St Kilda East,755,612,575,17332,1942,11.2047
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051511,Port Melbourne Industrial,87,85,85,2611,257,9.8430
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051512,South Melbourne,457,410,430,12916,1297,10.0418
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051513,St Kilda - Central,379,283,234,13725,896,6.5282
Victoria,206,Melbourne - Inner,20605,Port Phillip,206051514,St Kilda - West,356,303,345,16059,1004,6.2519
Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061135,Armadale,405,394,360,9997,1159,11.5935
Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061136,Prahran - Windsor,688,453,374,20928,1515,7.2391
Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061138,Toorak,427,463,567,13504,1457,10.7894
Victoria,206,Melbourne - Inner,20606,Stonnington - West,206061515,South Yarra - North,279,158,189,13633,626,4.5918
