fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ABUBAKAR NURMAGOMEDOV,17-4-1,6,4,8,53%,133,250,22%,1,18,2.78,2.61,1.25,0.00,65%,89%,0.00,11:58,119,89%,13,10%,1,1%,90,68%,23,15%,35,17%,6,35%,7,41%,4,24%,https://www.ufc.com/athlete/abubakar-nurmagomedov,Welterweight
ADAM FUGITT,10-5-0,4,3,3,46%,188,406,25%,1,20,4.59,4.54,1.83,0.00,51%,50%,0.00,08:11,171,91%,11,6%,6,3%,84,45%,72,38%,57,17%,4,57%,0,0%,3,43%,https://www.ufc.com/athlete/adam-fugitt,Welterweight
ALEX MORONO,24-12-0,6,7,11,40%,1356,3364,24%,null,25,5.03,4.78,0.33,0.33,56%,48%,0.28,11:44,1203,89%,97,7%,56,4%,1077,79%,183,13%,96,7%,6,25%,11,46%,7,29%,https://www.ufc.com/athlete/alex-morono,Welterweight
AMIRAN GOGOLADZE,0-1-0,null,null,null,67%,2,3,0%,null,1,1.64,0.82,0.00,0.00,null,null,0.00,01:13,2,100%,0,0%,0,0%,100,0%,100,100%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/amiran-gogoladze,Welterweight
ANDRE FIALHO,16-8-0,13,1,12,42%,202,486,100%,null,1,3.30,6.26,0.25,0.00,46%,67%,0.49,08:44,165,82%,32,16%,5,2%,140,69%,39,19%,81,11%,13,81%,2,13%,1,6%,https://www.ufc.com/athlete/andre-fialho,Welterweight
ANDREAS GUSTAFSSON,12-3-0,8,2,3,72%,141,196,59%,8,17,5.82,3.63,6.19,0.00,46%,100%,0.62,08:05,35,25%,85,60%,21,15%,94,67%,33,23%,67,10%,8,67%,2,17%,2,17%,https://www.ufc.com/athlete/andreas-gustafsson,Welterweight
AUSTIN VANDERFORD,13-3-0,5,3,4,59%,74,125,36%,2,14,3.04,2.71,3.08,1.23,48%,100%,0.00,08:06,26,35%,3,4%,45,61%,88,88%,7,7%,38,5%,5,38%,5,38%,3,23%,https://www.ufc.com/athlete/austin-vanderford,Welterweight
AXEL SOLA,11-0-1,6,1,null,43%,45,105,25%,1,4,3.74,2.74,1.25,0.00,76%,null,1.25,12:02,36,80%,5,11%,4,9%,89,89%,11,11%,55,0%,6,55%,4,36%,1,9%,https://www.ufc.com/athlete/axel-sola,Welterweight
BASSIL HAFEZ,9-4-1,1,4,4,38%,151,395,24%,3,25,3.71,5.68,2.21,0.00,42%,50%,0.00,13:33,142,94%,6,4%,3,2%,128,85%,12,7%,13,8%,1,13%,3,38%,4,50%,https://www.ufc.com/athlete/bassil-hafez,Welterweight
BELAL MUHAMMAD,24-4-0,5,1,null,43%,1373,3158,39%,15,119,4.46,3.78,2.24,0.15,56%,90%,0.00,15:23,1186,86%,68,5%,119,9%,1069,78%,189,14%,115,8%,5,21%,18,75%,1,4%,https://www.ufc.com/athlete/belal-muhammad,Welterweight
BILLY RAY GOFF,9-4-0,7,null,4,46%,193,416,17%,null,18,7.51,5.02,1.75,0.00,59%,67%,1.17,06:26,177,92%,13,7%,3,2%,98,51%,57,20%,78,30%,7,78%,2,22%,0,0%,https://www.ufc.com/athlete/billy-goff,Welterweight
BLOOD DIAMOND,3-3-0,1,1,null,55%,108,195,0%,null,4,3.12,2.17,0.00,0.00,49%,74%,0.00,11:33,53,49%,55,51%,0,0%,47,44%,46,43%,33,14%,1,33%,1,33%,1,33%,https://www.ufc.com/athlete/blud-daymond,Welterweight
CHIDI NJOKUANI,25-11-0,15,1,10,62%,452,725,0%,null,5,4.72,2.64,0.00,0.16,57%,73%,0.63,08:43,237,52%,147,33%,68,15%,184,40%,184,41%,87,19%,15,60%,9,36%,1,4%,https://www.ufc.com/athlete/bruno-korea-0,Welterweight
CARLOS LEAL,22-7-0,10,2,10,51%,191,375,25%,1,4,9.57,7.61,0.75,0.00,53%,90%,0.00,06:39,153,80%,38,20%,0,0%,126,66%,44,23%,48,11%,10,48%,9,43%,2,10%,https://www.ufc.com/athlete/carlos-leal,Welterweight
CARLOS PRATES,22-7-0,17,3,10,54%,244,449,100%,null,1,3.82,4.80,0.23,0.00,48%,84%,2.11,09:08,229,94%,1,0%,14,6%,134,55%,56,23%,77,22%,17,77%,2,9%,3,14%,https://www.ufc.com/athlete/carlos-prates,Welterweight
