fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
AILIN PEREZ,12-2-0,4,2,4,55%,229,417,47%,1,49,3.10,1.79,4.68,0.20,56%,67%,0.20,12:18,115,50%,34,15%,80,35%,137,60%,47,21%,45,20%,4,33%,6,50%,2,17%,https://www.ufc.com/athlete/ailin-perez,Women's Bantamweight
ALICE PEREIRA,6-1-0,4,1,4,32%,37,117,0%,null,3,2.47,3.00,0.00,0.00,73%,100%,0.00,15:00,35,95%,2,5%,0,0%,78,78%,19,19%,67,3%,4,67%,1,17%,1,17%,https://www.ufc.com/athlete/alice-pereira,Women's Bantamweight
BIA MESQUITA,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/bia-mesquita-bia-mesquita,Women's Bantamweight
CHELSEA CHANDLER,6-4-0,2,1,2,45%,184,408,60%,null,5,3.55,4.44,0.87,0.00,40%,29%,0.00,10:21,111,60%,39,21%,34,18%,128,70%,50,27%,33,3%,2,33%,3,50%,1,17%,https://www.ufc.com/athlete/chelsea-chandler,Women's Bantamweight
CLAUDIA LEITE,0-1-0,null,null,null,48%,19,40,25%,null,4,1.27,1.73,1.00,1.00,57%,null,0.00,15:00,15,79%,2,11%,2,11%,37,11%,53,37%,53,53%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/claudia-leite,Women's Bantamweight
DARIA ZHELEZNIAKOVA,10-2-0,5,null,2,42%,161,385,100%,null,1,4.75,2.83,0.44,0.00,69%,50%,0.00,11:17,153,95%,7,4%,1,1%,107,66%,54,34%,50,0%,5,50%,5,50%,0,0%,https://www.ufc.com/athlete/daria-zheleznyakova,Women's Bantamweight
GISELE MOREIRA,0-0-0,null,null,null,42%,89,210,57%,null,7,5.93,6.33,4.00,0.00,49%,null,0.00,15:00,81,91%,4,4%,4,4%,64,64%,20,16%,20,20%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/gisele-moreira,Women's Bantamweight
HAILEY COWAN,7-4-0,2,2,1,42%,92,218,36%,2,11,2.50,2.79,1.63,0.00,34%,80%,0.00,12:17,53,58%,26,28%,13,14%,59,59%,37,37%,29,4%,2,29%,3,43%,2,29%,https://www.ufc.com/athlete/hailey-cowan,Women's Bantamweight
IRENE ALDANA,15-8-0,8,3,9,40%,1065,2667,50%,2,4,5.19,6.64,0.15,0.22,56%,78%,0.22,14:39,948,89%,55,5%,62,6%,743,70%,177,14%,177,17%,8,53%,4,27%,3,20%,https://www.ufc.com/athlete/irene-aldana,Women's Bantamweight
IRINA ALEKSEEVA,5-3-0,1,2,3,39%,129,330,20%,null,5,4.01,5.03,0.47,0.47,46%,67%,0.47,10:44,119,92%,8,6%,2,2%,65,50%,39,19%,39,30%,1,20%,2,40%,2,40%,https://www.ufc.com/athlete/irina-alekseeva,Women's Bantamweight
JACQUELINE CAVALCANTI,9-1-0,3,null,2,46%,344,745,0%,null,2,5.73,3.32,0.00,0.00,70%,85%,0.00,15:00,328,95%,16,5%,0,0%,174,51%,116,16%,116,34%,3,33%,6,67%,0,0%,https://www.ufc.com/athlete/jacqueline-cavalcanti,Women's Bantamweight
JOSELYNE EDWARDS,16-6-0,8,3,8,54%,659,1227,39%,1,31,4.73,3.28,1.29,0.54,50%,61%,0.11,12:41,565,86%,51,8%,43,7%,250,38%,206,31%,203,31%,8,50%,5,31%,3,19%,https://www.ufc.com/athlete/joselyne-edwards,Women's Bantamweight
JOSIANE NUNES,10-4-0,7,null,3,43%,382,887,0%,null,1,5.65,5.76,0.00,0.00,52%,58%,0.67,11:17,330,86%,43,11%,9,2%,254,66%,85,22%,70,11%,7,70%,3,30%,0,0%,https://www.ufc.com/athlete/josiane-nunes,Women's Bantamweight
JULIANNA PEÑA,13-6-0,3,6,4,44%,493,1109,55%,9,33,3.10,2.56,1.70,0.76,57%,24%,0.00,13:14,305,62%,65,13%,123,25%,387,78%,92,19%,23,3%,3,23%,4,31%,6,46%,https://www.ufc.com/athlete/julianna-pena,Women's Bantamweight
KAROL ROSA,19-7-0,4,2,1,56%,1059,1891,48%,null,29,5.88,4.59,1.17,0.17,50%,70%,0.17,15:00,847,80%,112,11%,100,9%,619,58%,305,13%,305,29%,4,21%,13,68%,2,11%,https://www.ufc.com/athlete/karol-rosa,Women's Bantamweight
KAYLA HARRISON,19-1-0,6,8,9,62%,136,219,38%,2,16,4.29,1.10,2.84,0.95,66%,100%,0.00,10:34,40,29%,24,18%,72,53%,97,71%,27,20%,32,9%,6,32%,5,26%,8,42%,https://www.ufc.com/athlete/kayla-harrison,Women's Bantamweight
KELLY VELASCO,2-2-0,null,null,null,35%,34,97,0%,null,5,2.27,5.67,0.00,0.00,48%,100%,0.00,15:00,31,91%,3,9%,0,0%,71,71%,21,21%,50,9%,1,50%,1,50%,0,0%,https://www.ufc.com/athlete/kelly-velasco,Women's Bantamweight
KLAUDIA SYGUŁA,7-2-0,2,1,2,53%,113,213,20%,null,5,5.30,4.73,0.70,0.00,58%,33%,0.00,10:40,105,93%,5,4%,3,3%,68,60%,23,19%,29,20%,2,29%,4,57%,1,14%,https://www.ufc.com/athlete/klaudia-sygula,Women's Bantamweight
LUANA CAROLINA,11-5-0,3,1,2,51%,689,1345,38%,null,8,4.65,3.46,0.30,0.61,51%,69%,0.10,13:28,488,71%,150,22%,51,7%,370,54%,206,30%,113,16%,3,27%,7,64%,1,9%,https://www.ufc.com/athlete/luana-carolina,Women's Bantamweight
LUANA SANTOS,9-2-0,1,5,4,53%,174,329,50%,null,12,3.69,3.40,1.91,1.27,63%,83%,0.00,09:25,158,91%,14,8%,2,1%,103,59%,50,29%,21,12%,1,11%,3,33%,5,56%,https://www.ufc.com/athlete/luana-santos,Women's Bantamweight
MACY CHIASSON,11-5-0,4,3,3,46%,482,1041,37%,null,51,3.50,2.86,2.07,0.44,46%,73%,0.22,10:36,236,49%,147,30%,99,21%,264,55%,169,35%,49,10%,4,36%,4,36%,3,27%,https://www.ufc.com/athlete/macy-chiasson,Women's Bantamweight
MAYRA BUENO SILVA,10-5-1,1,7,7,59%,506,865,29%,null,17,3.83,4.85,0.57,1.48,52%,64%,0.00,10:10,338,67%,141,28%,27,5%,248,49%,163,32%,95,19%,1,10%,2,20%,7,70%,https://www.ufc.com/athlete/mayra-bueno-silva,Women's Bantamweight
MELISSA CRODEN,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/melissa-croden,Women's Bantamweight
MELISSA MULLINS,7-2-0,4,null,3,50%,165,327,43%,null,14,3.71,4.39,2.03,0.00,53%,86%,0.00,11:07,121,73%,6,4%,38,23%,135,82%,20,12%,57,6%,4,57%,3,43%,0,0%,https://www.ufc.com/athlete/melissa-mullins,Women's Bantamweight
MICHELLE MONTAGUE,7-0-0,null,6,3,47%,41,88,71%,5,7,2.73,3.20,5.00,0.00,41%,null,0.00,15:00,12,29%,1,2%,28,68%,83,83%,15,15%,2,2%,0,0%,1,14%,6,86%,https://www.ufc.com/athlete/michelle-montague,Women's Bantamweight
MIESHA TATE,20-10-0,4,8,null,44%,738,1662,31%,14,120,2.62,3.05,1.97,1.22,51%,56%,0.05,12:49,482,65%,126,17%,130,18%,469,64%,205,28%,64,9%,4,20%,8,40%,8,40%,https://www.ufc.com/athlete/miesha-tate,Women's Bantamweight
