fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ALEXA GRASSO,16-5-1,4,2,5,41%,909,2202,35%,1,17,4.11,3.73,0.41,0.61,58%,55%,0.07,15:48,739,81%,142,16%,28,3%,562,62%,174,19%,173,19%,4,25%,10,63%,2,13%,https://www.ufc.com/athlete/alexa-grasso,Women's Flyweight
BROGAN WALKER,8-5-0,null,1,1,32%,81,253,75%,null,4,1.84,3.32,1.02,0.00,47%,11%,0.00,14:39,66,81%,10,12%,5,6%,42,42%,32,26%,32,32%,0,0%,7,88%,1,13%,https://www.ufc.com/athlete/brogan-walker,Women's Flyweight
CARLI JUDICE,5-2-0,5,null,4,52%,463,885,25%,2,8,10.73,8.08,0.70,0.00,55%,78%,0.70,10:48,392,85%,66,14%,5,1%,293,63%,141,30%,100,6%,5,100%,0,0%,0,0%,https://www.ufc.com/athlete/carli-judice,Women's Flyweight
CASEY O'NEILL,10-2-0,3,2,1,53%,652,1231,35%,8,23,7.89,5.65,1.45,0.73,57%,70%,0.00,11:49,525,81%,31,5%,96,15%,503,77%,91,14%,58,9%,3,30%,5,50%,2,20%,https://www.ufc.com/athlete/casey-oneill,Women's Flyweight
CHELSEA HACKETT,0-1-0,null,null,null,51%,25,49,null,null,null,2.58,4.85,0.00,0.00,47%,57%,0.00,09:41,22,88%,3,12%,0,0%,52,52%,28,20%,28,28%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/chelsea-hackett,Women's Flyweight
CORINNE LAFRAMBOISE,0-1-0,null,null,null,68%,15,22,100%,null,1,3.16,1.89,3.16,0.00,47%,33%,0.00,04:45,4,27%,0,0%,11,73%,100,100%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/corinne-laframboise,Women's Flyweight
CORTNEY CASEY,10-10-0,3,4,7,39%,816,2085,31%,3,16,4.29,4.00,0.39,0.47,55%,40%,0.00,12:41,640,78%,95,12%,81,10%,558,68%,171,11%,171,21%,3,21%,7,50%,4,29%,https://www.ufc.com/athlete/cortney-casey,Women's Flyweight
DIONE BARBOSA,8-4-0,null,4,4,46%,122,268,42%,2,19,2.27,2.45,2.23,1.95,66%,50%,0.00,10:46,107,88%,10,8%,5,4%,76,62%,33,27%,13,11%,0,0%,4,50%,4,50%,https://www.ufc.com/athlete/dione-barbosa,Women's Flyweight
EDUARDA MOURA,12-1-0,4,5,7,38%,171,451,38%,3,37,3.04,2.47,3.73,0.27,62%,80%,0.00,11:15,101,59%,8,5%,62,36%,147,86%,13,6%,33,8%,4,33%,3,25%,5,42%,https://www.ufc.com/athlete/eduarda-moura,Women's Flyweight
ERIN BLANCHFIELD,13-2-0,2,4,3,44%,591,1332,32%,10,44,5.24,4.21,1.86,0.80,59%,80%,0.00,14:07,445,75%,42,7%,104,18%,416,70%,96,16%,79,13%,2,15%,7,54%,4,31%,https://www.ufc.com/athlete/erin-blanchfield,Women's Flyweight
ERNESTA KARECKAITĖ,6-1-1,2,null,2,42%,332,787,67%,1,3,7.38,6.09,0.67,0.00,48%,83%,0.00,15:00,279,84%,45,14%,8,2%,252,76%,65,20%,33,5%,2,33%,4,67%,0,0%,https://www.ufc.com/athlete/ernesta-kareckaite,Women's Flyweight
ESTEFANI ALMEIDA,0-0-0,null,null,null,37%,47,127,0%,null,3,3.13,6.07,0.00,0.00,42%,null,0.00,15:00,46,98%,1,2%,0,0%,47,47%,28,28%,26,26%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/estefani-almeida,Women's Flyweight
