fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division
ALEXIA THAINARA,13-1-0,null,7,4,41%,156,382,60%,1,15,4.52,2.46,3.91,1.74,65%,100%,0.00,11:31,123,79%,14,9%,19,12%,81,52%,44,20%,44,28%,1,8%,5,38%,7,54%,https://www.ufc.com/athlete/alexia-thainara,Women's Strawweight
ALICE ARDELEAN,10-7-0,4,4,null,44%,303,681,50%,2,6,6.73,5.04,1.00,0.00,58%,88%,0.00,15:00,291,96%,8,3%,4,1%,216,71%,53,17%,40,11%,4,40%,2,20%,4,40%,https://www.ufc.com/athlete/alice-ardelean,Women's Strawweight
AMANDA LEMOS,15-5-1,8,3,8,55%,403,731,63%,1,16,2.75,3.24,1.02,0.72,45%,64%,0.61,10:28,281,70%,56,14%,66,16%,258,64%,86,21%,59,15%,8,53%,4,27%,3,20%,https://www.ufc.com/athlete/amanda-lemos,Women's Strawweight
AMANDA RIBAS,13-7-0,4,4,5,40%,686,1717,52%,2,42,4.26,3.29,2.05,0.56,60%,82%,0.09,12:23,589,86%,36,5%,61,9%,421,61%,142,18%,142,21%,4,31%,5,38%,4,31%,https://www.ufc.com/athlete/amanda-ribas,Women's Strawweight
ANGELA HILL,18-15-0,5,null,1,50%,2186,4346,30%,3,69,5.43,4.92,0.78,0.15,61%,74%,0.11,14:23,1604,73%,503,23%,79,4%,1303,60%,705,32%,178,8%,5,28%,12,67%,1,6%,https://www.ufc.com/athlete/angela-hill,Women's Strawweight
ARIANE CARNELOSSI,15-3-0,9,2,4,40%,157,395,56%,null,9,2.87,4.74,1.37,0.27,45%,14%,0.00,10:55,112,71%,30,19%,15,10%,112,71%,25,13%,64,16%,9,64%,3,21%,2,14%,https://www.ufc.com/athlete/ariane-carnelossi,Women's Strawweight
ASHLEY YODER,8-9-0,null,4,null,39%,564,1440,28%,4,43,3.42,4.13,1.09,0.55,47%,67%,0.09,15:00,423,75%,48,9%,93,16%,364,65%,136,24%,64,11%,0,0%,4,50%,4,50%,https://www.ufc.com/athlete/ashley-yoder,Women's Strawweight
BRUNA BRASIL,11-5-1,3,2,null,59%,214,362,67%,null,12,2.77,4.14,1.55,0.00,48%,54%,0.19,13:11,156,73%,48,22%,10,5%,91,43%,91,43%,32,15%,3,27%,6,55%,2,18%,https://www.ufc.com/athlete/bruna-brasil,Women's Strawweight
CAROL FORO,1-0-0,null,null,null,55%,117,212,null,null,null,7.80,7.67,0.00,0.00,58%,100%,3.00,15:00,108,92%,9,8%,0,0%,57,44%,57,49%,9,8%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/carol-foro,Women's Strawweight
CYNTHIA CALVILLO,9-6-1,2,3,2,38%,736,1916,44%,5,45,4.41,4.12,1.80,0.81,64%,78%,0.00,12:50,639,87%,19,3%,78,11%,394,54%,224,30%,118,16%,2,22%,4,44%,3,33%,https://www.ufc.com/athlete/cynthia-calvillo,Women's Strawweight
DENISE GOMES,11-3-0,7,null,2,51%,406,798,37%,null,19,4.59,3.04,1.19,0.85,51%,67%,0.51,11:04,264,65%,95,23%,47,12%,207,51%,105,26%,94,23%,7,64%,4,36%,0,0%,https://www.ufc.com/athlete/denise-gomes,Women's Strawweight
FABIOLA PIDRONI,0-0-0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/fabiola-pidroni,Women's Strawweight
FATIMA KLINE,8-1-0,4,1,1,50%,146,294,60%,1,5,3.94,2.29,1.21,0.00,60%,50%,0.40,12:21,110,75%,17,12%,19,13%,102,70%,32,22%,50,8%,4,50%,3,38%,1,13%,https://www.ufc.com/athlete/fatima-kline,Women's Strawweight
GILLIAN ROBERTSON,16-8-0,3,9,3,49%,548,1129,41%,3,86,2.86,2.86,2.74,0.94,57%,41%,0.00,10:05,271,49%,19,3%,258,47%,372,68%,88,16%,88,16%,3,19%,4,25%,9,56%,https://www.ufc.com/athlete/gillian-robertson,Women's Strawweight
IASMIN LUCINDO,18-6-0,8,3,3,45%,318,699,56%,null,27,3.22,2.80,2.28,0.15,62%,69%,0.00,14:06,266,84%,31,10%,21,7%,210,66%,84,26%,44,8%,8,44%,7,39%,3,17%,https://www.ufc.com/athlete/iasmin-lucindo,Women's Strawweight
ISIS VERBEEK,0-1-0,null,null,null,44%,47,108,null,null,null,3.13,3.53,0.00,0.00,54%,67%,0.00,15:00,27,57%,20,43%,0,0%,53,28%,53,53%,19,19%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/isis-verbeek,Women's Strawweight
JANAINA SILVA,0-1-0,null,null,null,0%,0,3,null,null,null,0.00,1.50,0.00,0.00,63%,null,0.00,04:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/janaina-silva,Women's Strawweight
