Year,S/T name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,Child_count
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011106,Brunswick East,557,430,370,1357
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011107,Brunswick West,699,640,604,1943
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011109,Pascoe Vale South,539,656,718,1913
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011495,Brunswick - North,572,374,463,1409
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011496,Brunswick - South,551,357,322,1230
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011497,Coburg - East,667,509,556,1732
2024,Victoria,206,Melbourne - Inner,20601,Brunswick - Coburg,206011498,Coburg - West,776,794,736,2306
2024,Victoria,206,Melbourne - Inner,20602,Darebin - South,206021110,Alphington - Fairfield,464,483,485,1432
2024,Victoria,206,Melbourne - Inner,20602,Darebin - South,206021112,Thornbury,981,877,935,2793
2024,Victoria,206,Melbourne - Inner,20602,Darebin - South,206021499,Northcote - East,705,715,791,2211
2024,Victoria,206,Melbourne - Inner,20602,Darebin - South,206021500,Northcote - West,449,474,530,1453
2024,Victoria,206,Melbourne - Inner,20603,Essendon,206031113,Ascot Vale,968,870,813,2651
2024,Victoria,206,Melbourne - Inner,20603,Essendon,206031115,Flemington,521,410,327,1258
2024,Victoria,206,Melbourne - Inner,20603,Essendon,206031116,Moonee Ponds,741,813,729,2283
2024,Victoria,206,Melbourne - Inner,20603,Essendon,206031501,Essendon (West) - Aberfeldie,711,818,988,2517
2024,Victoria,206,Melbourne - Inner,20603,Essendon,206031502,Essendon - East,480,548,623,1651
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041117,Carlton,275,215,264,754
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041118,Docklands,632,430,253,1315
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041119,East Melbourne,119,84,96,299
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041120,Flemington Racecourse,1,0,0,1
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041121,Kensington (Vic.),586,480,433,1499
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041124,Parkville,170,127,120,417
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041125,South Yarra - West,226,218,149,593
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041127,West Melbourne - Industrial,0,0,0,0
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041503,Melbourne CBD - East,182,135,93,410
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041504,Melbourne CBD - North,235,128,138,501
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041505,Melbourne CBD - West,268,168,130,566
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041506,North Melbourne,575,501,596,1672
2024,Victoria,206,Melbourne - Inner,20604,Melbourne City,206041507,Royal Botanic Gardens Victoria,0,0,0,0
