name,lat,lon,SA2_CODE21,SA2_NAME21
North Melbourne Recreation Reserve Play Court,-37.79980317243133,144.94146553497296,206041506,North Melbourne
Liddy Street Reserve Playground,-37.79003673843191,144.9256728627734,206041121,Kensington (Vic.)
Boyd Community Hub,-37.82611400247897,144.96163469344134,206041509,Southbank - East
Princes Park North Playground,-37.781221527129574,144.96214347994342,206071140,Carlton North - Princes Hill
Mercantile Parade and Tankard Street Playground,-37.796615304958806,144.92060508965284,206041121,Kensington (Vic.)
Birrarung Marr Artplay,-37.818149015388066,144.9712309067726,206041119,East Melbourne
Mercantile Parade and Newman Street Playground,-37.79542804645323,144.92088329716032,206041121,Kensington (Vic.)
Docklands Park Playground,-37.8218009873152,144.94722750144075,206041118,Docklands
Carlton Gardens Playground,-37.8020962906074,144.97067458905988,206041117,Carlton
Station Street Park Playground,-37.797285033377186,144.9739866829798,206041117,Carlton
Lincoln Square Playground,-37.80284131718294,144.9626564799592,206041117,Carlton
Flagstaff Gardens Playground,-37.8095257090171,144.95471867901864,206041510,West Melbourne - Residential
Point Park Playground,-37.82307176194582,144.94158310181788,206041118,Docklands
Neill Street Reserve,-37.79520740161526,144.96970314493564,206041117,Carlton
Warun Biik Playground,-37.79616817586979,144.9267597762389,206041121,Kensington (Vic.)
Ievers Reserve Playground,-37.79652622815778,144.95277288002004,206041124,Parkville
Powlett Reserve Playground,-37.81158137797367,144.9865706304634,206041119,East Melbourne
Fawkner Park East,-37.840668223257225,144.98402897622898,206041125,South Yarra - West
Robertson Street Park Playground,-37.79319152147504,144.93241661314613,206041121,Kensington (Vic.)
Parsons Reserve Playground,-37.790191684378094,144.93108110732882,206041121,Kensington (Vic.)
Holland Park Playground,-37.7978870186655,144.9259420093936,206041121,Kensington (Vic.)
Fawkner Park North East,-37.838793729508225,144.9850522156393,206041125,South Yarra - West
Ron Barassi Senior Park Playground,-37.816522726624655,144.93375500298453,206041118,Docklands
Manningham Street Playground,-37.78509788859067,144.94203123068968,206041124,Parkville
Kensington Hall Reserve Playground,-37.789037850036166,144.9284357699595,206041121,Kensington (Vic.)
Canning and Palmerston Streets Playground,-37.79630622554574,144.97280123149434,206041117,Carlton
Riverslide Skate Park,-37.820490837663186,144.97302701268373,206041507,Royal Botanic Gardens Victoria
Buluk Park Playground,-37.820285121736624,144.94088305188848,206041118,Docklands
Princes Park South Playground,-37.785385696902736,144.96275926118628,206071140,Carlton North - Princes Hill
NaturePlay Playground Royal Park,-37.795044731386305,144.9517539147769,206041124,Parkville
Bayswater Road Park Playground,-37.79377873282799,144.92359592824823,206041121,Kensington (Vic.)
Grant Street Playground,-37.8260106301916,144.96835314420716,206041509,Southbank - East
North Melbourne Recreation Reserve Multi Purpose Court,-37.7988307430471,144.9403321720667,206041506,North Melbourne
Fitzroy Gardens Playground,-37.811744939010325,144.9818267986077,206041119,East Melbourne
Wharfs Landing Park,-37.8220676003373,144.93654191133373,206041118,Docklands
Galada Avenue Reserve Playground,-37.779582393504235,144.93975987147903,206041124,Parkville
Holland Park Extreme Sports Precinct,-37.79831312148108,144.9212247231253,206041121,Kensington (Vic.)
Eades Park Playground,-37.80718322149278,144.95159199209743,206041510,West Melbourne - Residential
Gardiner Reserve Playground,-37.7987885878955,144.94393836858487,206041506,North Melbourne
Fawkner Park Toddler Playspace,-37.83903295479282,144.98047560545143,206041125,South Yarra - West
Bellair Street Reserve Playground,-37.79525908086376,144.93078140282728,206041121,Kensington (Vic.)
The Crescent Reserve Playground,-37.794654989366286,144.9191944946368,206041121,Kensington (Vic.)
Victoria Green Playground,-37.82015371307213,144.94476081594655,206041118,Docklands
North Melbourne Community Centre Playground,-37.79356615908827,144.94008253076515,206041506,North Melbourne
Hawke & Adderley Streets Playground,-37.808765867846496,144.94479636670366,206041510,West Melbourne - Residential
