Year,S/T name,SA4 name,SA3 name,SA2 code,SA2 name,0–4,5–9,10–14,child_count
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011106,Brunswick East,488,403,360,1251
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011107,Brunswick West,675,623,538,1836
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011109,Pascoe Vale South,557,680,689,1926
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011495,Brunswick - North,528,451,452,1431
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011496,Brunswick - South,520,362,359,1241
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011497,Coburg - East,611,544,517,1672
2021,Victoria,Melbourne - Inner,Brunswick - Coburg,206011498,Coburg - West,848,827,786,2461
2021,Victoria,Melbourne - Inner,Darebin - South,206021110,Alphington - Fairfield,468,484,500,1452
2021,Victoria,Melbourne - Inner,Darebin - South,206021112,Thornbury,1005,951,904,2860
2021,Victoria,Melbourne - Inner,Darebin - South,206021499,Northcote - East,722,772,870,2364
2021,Victoria,Melbourne - Inner,Darebin - South,206021500,Northcote - West,465,493,565,1523
2021,Victoria,Melbourne - Inner,Essendon,206031113,Ascot Vale,996,923,811,2730
2021,Victoria,Melbourne - Inner,Essendon,206031115,Flemington,498,394,310,1202
2021,Victoria,Melbourne - Inner,Essendon,206031116,Moonee Ponds,768,773,745,2286
2021,Victoria,Melbourne - Inner,Essendon,206031501,Essendon (West) - Aberfeldie,666,874,1069,2609
2021,Victoria,Melbourne - Inner,Essendon,206031502,Essendon - East,513,608,613,1734
2021,Victoria,Melbourne - Inner,Melbourne City,206041117,Carlton,331,304,287,922
2021,Victoria,Melbourne - Inner,Melbourne City,206041118,Docklands,709,379,162,1250
2021,Victoria,Melbourne - Inner,Melbourne City,206041119,East Melbourne,119,96,91,306
2021,Victoria,Melbourne - Inner,Melbourne City,206041120,Flemington Racecourse,1,0,0,1
2021,Victoria,Melbourne - Inner,Melbourne City,206041121,Kensington (Vic.),632,532,416,1580
2021,Victoria,Melbourne - Inner,Melbourne City,206041124,Parkville,207,154,143,504
2021,Victoria,Melbourne - Inner,Melbourne City,206041125,South Yarra - West,237,164,169,570
2021,Victoria,Melbourne - Inner,Melbourne City,206041127,West Melbourne - Industrial,0,0,0,0
2021,Victoria,Melbourne - Inner,Melbourne City,206041503,Melbourne CBD - East,215,146,114,475
2021,Victoria,Melbourne - Inner,Melbourne City,206041504,Melbourne CBD - North,206,151,147,504
2021,Victoria,Melbourne - Inner,Melbourne City,206041505,Melbourne CBD - West,292,149,118,559
2021,Victoria,Melbourne - Inner,Melbourne City,206041506,North Melbourne,578,601,642,1821
2021,Victoria,Melbourne - Inner,Melbourne City,206041507,Royal Botanic Gardens Victoria,0,0,0,0
2021,Victoria,Melbourne - Inner,Melbourne City,206041508,Southbank (West) - South Wharf,252,145,80,477
2021,Victoria,Melbourne - Inner,Melbourne City,206041509,Southbank - East,455,269,178,902
2021,Victoria,Melbourne - Inner,Melbourne City,206041510,West Melbourne - Residential,252,163,149,564
2021,Victoria,Melbourne - Inner,Port Phillip,206051128,Albert Park,701,724,738,2163
2021,Victoria,Melbourne - Inner,Port Phillip,206051129,Elwood,712,649,644,2005
2021,Victoria,Melbourne - Inner,Port Phillip,206051130,Port Melbourne,825,792,738,2355
2021,Victoria,Melbourne - Inner,Port Phillip,206051134,St Kilda East,755,595,601,1951
2021,Victoria,Melbourne - Inner,Port Phillip,206051511,Port Melbourne Industrial,73,54,44,171
2021,Victoria,Melbourne - Inner,Port Phillip,206051512,South Melbourne,494,453,412,1359
2021,Victoria,Melbourne - Inner,Port Phillip,206051513,St Kilda - Central,374,257,227,858
2021,Victoria,Melbourne - Inner,Port Phillip,206051514,St Kilda - West,409,322,336,1067
2021,Victoria,Melbourne - Inner,Stonnington - West,206061135,Armadale,448,389,383,1220
2021,Victoria,Melbourne - Inner,Stonnington - West,206061136,Prahran - Windsor,703,447,417,1567
2021,Victoria,Melbourne - Inner,Stonnington - West,206061138,Toorak,421,492,564,1477
2021,Victoria,Melbourne - Inner,Stonnington - West,206061515,South Yarra - North,260,157,190,607
