fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ADRIAN YANEZ,17-6-0,11.0,2.0,7.0,42%,424.0,1018.0,0%,,1.0,6.23,5.75,0.0,0.0,55%,82%,1.54,06:48,386,91%,6,1%,32,8%,303,71%,64,13%,65,15%,11,65%,4,24%,2,12%,https://www.ufc.com/athlete/adrian-yanez,Bantamweight,31.65137614678899,52.27272727272727,94.54545454545455,6.862745098039216,74.47916666666666,10.0,18.181818181818183,95.45454545454545
AIEMANN ZAHABI,13-2-0,6.0,2.0,8.0,47%,469.0,1002.0,14%,,7.0,4.42,4.13,0.14,0.0,70%,84%,0.42,11:47,418,89%,19,4%,32,7%,350,75%,71,15%,48,10%,6,46%,5,38%,2,15%,https://www.ufc.com/athlete/aiemann-zahabi,Bantamweight,59.63302752293578,97.27272727272728,65.45454545454545,16.176470588235293,81.77083333333334,20.0,18.181818181818183,68.63636363636364
AJ CUNNINGHAM,11-5-0,4.0,4.0,5.0,29%,121.0,412.0,0%,,3.0,4.22,6.31,0.0,0.52,48%,46%,0.0,09:34,118,98%,3,2%,0,0%,65,54%,35,29%,36,17%,4,36%,3,27%,4,36%,https://www.ufc.com/athlete/aj-cunningham,Bantamweight,1.834862385321101,22.272727272727273,59.09090909090909,6.862745098039216,19.791666666666664,10.0,69.0909090909091,22.727272727272727
ALEKSANDRE TOPURIA,6-1-0,3.0,2.0,5.0,52%,41.0,79.0,50%,1.0,2.0,2.73,2.53,1.0,0.0,70%,100%,0.0,15:00,35,85%,5,12%,1,2%,46,44%,46,46%,60,10%,3,60%,0,0%,2,40%,https://www.ufc.com/athlete/aleksandre-topuria,Bantamweight,75.22935779816514,97.27272727272728,27.27272727272727,82.84313725490196,95.3125,41.81818181818181,18.181818181818183,22.727272727272727
ALLAN BEGOSSO,0-1-0,,,,40%,27.0,67.0,,,,1.8,7.73,0.0,2.0,34%,25%,0.0,15:00,12,44%,2,7%,13,48%,70,70%,19,19%,11,11%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/allan-begosso,Bantamweight,23.853211009174313,5.454545454545454,14.545454545454545,,3.125,10.0,98.18181818181819,22.727272727272727
ANGEL PACHECO,7-3-0,5.0,2.0,5.0,39%,285.0,725.0,0%,,1.0,9.5,11.47,0.0,0.0,41%,29%,0.0,15:00,243,85%,42,15%,0,0%,179,63%,91,32%,71,5%,5,71%,0,0%,2,29%,https://www.ufc.com/athlete/angel-pacheco,Bantamweight,18.34862385321101,13.636363636363635,100.0,6.862745098039216,5.729166666666666,10.0,18.181818181818183,22.727272727272727
AORIQILENG,25-11-0,8.0,1.0,8.0,50%,406.0,816.0,47%,4.0,15.0,4.65,5.46,1.2,0.0,49%,58%,0.34,10:55,340,84%,23,6%,43,11%,262,65%,97,24%,47,12%,8,32%,16,64%,1,4%,https://www.ufc.com/athlete/aoriqileng,Bantamweight,70.64220183486239,26.36363636363636,71.81818181818181,76.47058823529412,30.729166666666668,51.81818181818182,18.181818181818183,62.727272727272734
BEKZAT ALMAKHAN,12-2-0,9.0,1.0,5.0,41%,11.0,27.0,,,,0.68,4.29,0.0,0.0,32%,,1.87,08:02,9,82%,0,0%,2,18%,73,73%,27,27%,75,0%,9,75%,2,17%,1,8%,https://www.ufc.com/athlete/bekzat-almakhan,Bantamweight,28.440366972477065,4.545454545454546,3.6363636363636362,,,10.0,18.181818181818183,97.27272727272728
BENARDO SOPAJ,12-3-0,7.0,3.0,7.0,56%,126.0,225.0,71%,3.0,7.0,4.24,4.88,2.53,0.0,50%,77%,0.51,14:51,69,55%,16,13%,41,33%,106,84%,11,7%,64,9%,7,64%,1,9%,3,27%,https://www.ufc.com/athlete/benardo-sopaj,Bantamweight,88.53211009174312,32.72727272727273,60.0,92.15686274509804,67.1875,79.0909090909091,18.181818181818183,77.27272727272727
BRYCE MITCHELL,18-4-0,1.0,9.0,8.0,59%,315.0,530.0,36%,3.0,83.0,2.27,1.6,3.24,1.19,59%,33%,0.11,11:35,176,56%,24,8%,115,37%,183,58%,90,29%,42,13%,1,6%,8,44%,9,50%,https://www.ufc.com/athlete/bryce-mitchell,Bantamweight,94.4954128440367,73.18181818181819,20.909090909090907,54.90196078431373,7.291666666666667,84.0909090909091,88.18181818181819,46.36363636363636
