fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
MUHAMMAD NAIMOV,13-3-0,6.0,2.0,5.0,41%,209.0,510.0,36%,,25.0,2.61,3.45,1.69,0.19,45%,68%,0.19,11:25,144.0,69%,41.0,20%,24.0,11%,127.0,61%,47.0,22%,46.0,17%,6.0,46%,5.0,38%,2.0,15%,https://www.ufc.com/athlete/Muhammad-Naimov,Featherweight,25.229357798165136,15.59633027522936,18.807339449541285,48.96907216494845,46.02272727272727,61.46788990825688,50.45871559633027,44.03669724770643
AARON PICO,13-5-0,9.0,2.0,7.0,45%,13.0,29.0,67%,2.0,3.0,3.88,2.39,8.96,0.0,50%,,0.0,03:21,7.0,54%,3.0,23%,3.0,23%,54.0,54%,38.0,38%,69.0,8%,9.0,69%,2.0,15%,2.0,15%,https://www.ufc.com/athlete/aaron-pico,Featherweight,40.36697247706422,30.73394495412844,46.788990825688074,91.75257731958763,,98.1651376146789,22.018348623853214,20.642201834862387
ABDUL AZEEM BADAKHSHI,0-0-0,,,,,,,,,,,,,,,,,00:00,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/abdul-azeem-badakhshi,Featherweight,,,,,,,,
ALBERTO MONTES,1-0-0,,,,67%,38.0,57.0,,,,4.98,4.85,0.0,9.83,58%,67%,0.0,07:38,38.0,100%,0.0,0%,0.0,0%,74.0,74%,26.0,26%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/alberto-montes,Featherweight,94.95412844036697,70.64220183486239,69.72477064220183,,42.61363636363637,11.926605504587156,100.0,20.642201834862387
ALEX GILPIN,10-1-0,,,,54%,47.0,87.0,25%,,4.0,6.8,12.29,2.17,2.17,43%,,0.0,06:55,45.0,96%,1.0,2%,1.0,2%,96.0,96%,2.0,2%,2.0,2%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/aleks-munoz-0,Featherweight,79.81651376146789,9.174311926605505,87.1559633027523,25.773195876288657,,73.39449541284404,95.41284403669725,20.642201834862387
ALEXANDER VOLKANOVSKI,27-4-0,13.0,3.0,7.0,57%,1717.0,3018.0,34%,16.0,90.0,6.18,3.36,1.67,0.16,59%,70%,0.32,16:21,1299.0,76%,151.0,9%,267.0,16%,1108.0,65%,424.0,11%,424.0,25%,13.0,48%,11.0,41%,3.0,11%,https://www.ufc.com/athlete/alexander-volkanovski,Featherweight,86.23853211009175,75.68807339449542,82.56880733944955,45.876288659793815,49.43181818181818,59.174311926605505,46.788990825688074,55.5045871559633
ALJAMAIN STERLING,25-5-0,3.0,8.0,4.0,53%,1361.0,2586.0,31%,21.0,163.0,4.45,2.21,2.45,0.64,60%,45%,0.0,13:54,916.0,67%,194.0,14%,251.0,18%,678.0,50%,431.0,32%,252.0,19%,3.0,12%,14.0,56%,8.0,32%,https://www.ufc.com/athlete/aljamain-sterling,Featherweight,77.98165137614679,82.11009174311926,58.71559633027523,36.597938144329895,5.681818181818182,75.22935779816514,72.93577981651376,20.642201834862387
ANDRE FILI,25-12-0,10.0,3.0,8.0,38%,1019.0,2708.0,45%,23.0,86.0,3.87,4.23,2.22,0.23,51%,72%,0.34,10:33,881.0,86%,60.0,6%,78.0,8%,742.0,73%,149.0,15%,128.0,13%,10.0,40%,12.0,48%,3.0,12%,https://www.ufc.com/athlete/andre-fili,Featherweight,16.51376146788991,35.321100917431195,45.87155963302752,69.58762886597938,56.25,74.31192660550458,55.96330275229357,58.71559633027523
ANVAR BOYNAZAROV,0-1-0,,,,0%,0.0,2.0,,,,0.0,7.83,0.0,0.0,29%,,0.0,01:32,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/anvar-boynazarov,Featherweight,0.9174311926605505,1.834862385321101,0.9174311926605505,,,11.926605504587156,22.018348623853214,20.642201834862387
ARNOLD ALLEN,20-3-0,7.0,4.0,1.0,42%,611.0,1471.0,48%,8.0,23.0,3.45,2.88,0.93,0.34,62%,75%,0.25,13:37,549.0,90%,27.0,4%,35.0,6%,444.0,73%,121.0,20%,46.0,8%,7.0,35%,9.0,45%,4.0,20%,https://www.ufc.com/athlete/arnold-allen,Featherweight,30.275229357798167,90.36697247706422,33.02752293577982,73.19587628865979,69.31818181818183,45.412844036697244,60.09174311926605,51.8348623853211
