fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ALDEN CORIA,11-3-0,5.0,4.0,3.0,44%,42.0,95.0,100%,2.0,2.0,3.89,1.11,2.78,0.0,79%,75%,0.0,10:47,29.0,69%,0.0,0%,13.0,31%,81.0,81%,17.0,2%,45.0,17%,5.0,45%,2.0,18%,4.0,36%,https://www.ufc.com/athlete/alden-coria,Flyweight,42.857142857142854,100.0,63.63636363636363,97.85714285714285,80.76923076923077,75.32467532467533,23.376623376623375,23.376623376623375
MITCH RAPOSO,9-3-0,4.0,3.0,4.0,34%,62.0,184.0,38%,1.0,24.0,1.62,3.2,3.54,0.0,55%,50%,0.0,12:44,58.0,94%,1.0,2%,3.0,5%,71.0,71%,21.0,21%,44.0,8%,4.0,44%,2.0,22%,3.0,33%,https://www.ufc.com/athlete/aleks-oliveyra-2,Flyweight,12.987012987012985,53.896103896103895,7.792207792207792,54.285714285714285,26.153846153846157,84.4155844155844,23.376623376623375,23.376623376623375
ALESSANDRO COSTA,14-5-0,5.0,6.0,8.0,45%,239.0,532.0,17%,,12.0,3.64,3.57,0.46,0.46,57%,83%,0.69,10:56,185.0,77%,23.0,10%,31.0,13%,133.0,56%,59.0,20%,59.0,25%,5.0,36%,3.0,21%,6.0,43%,https://www.ufc.com/athlete/alessandro-costa,Flyweight,51.94805194805194,63.63636363636363,57.14285714285714,20.0,90.76923076923077,29.22077922077922,59.74025974025974,81.81818181818183
ALEX PEREZ,25-9-0,6.0,7.0,10.0,46%,370.0,798.0,46%,7.0,26.0,4.19,3.2,2.04,0.85,59%,77%,0.68,06:47,260.0,70%,55.0,15%,55.0,15%,224.0,61%,91.0,15%,91.0,25%,6.0,24%,12.0,48%,7.0,28%,https://www.ufc.com/athlete/alex-perez,Flyweight,59.74025974025974,79.22077922077922,75.97402597402598,72.14285714285714,83.07692307692308,63.63636363636363,68.18181818181817,80.51948051948052
ALEXANDRE PANTOJA,30-5-0,8.0,12.0,10.0,50%,935.0,1859.0,48%,3.0,84.0,4.36,3.88,2.8,0.98,50%,69%,0.28,12:37,759.0,81%,93.0,10%,83.0,9%,593.0,63%,201.0,21%,141.0,15%,8.0,27%,10.0,33%,12.0,40%,https://www.ufc.com/athlete/alexandre-pantoja,Flyweight,70.12987012987013,35.064935064935064,80.51948051948052,75.71428571428571,67.6923076923077,76.62337662337663,71.42857142857143,60.3896103896104
ALIBI IDIRIS,11-1-0,5.0,2.0,5.0,50%,28.0,56.0,0%,,1.0,3.47,3.6,0.0,0.0,54%,60%,0.0,08:04,22.0,79%,6.0,21%,0.0,0%,61.0,32%,61.0,61%,45.0,7%,5.0,45%,4.0,36%,2.0,18%,https://www.ufc.com/athlete/alibi-idiris,Flyweight,70.12987012987013,49.35064935064935,51.94805194805194,7.857142857142857,46.15384615384615,11.688311688311687,23.376623376623375,23.376623376623375
ALLAN NASCIMENTO,21-6-0,2.0,14.0,12.0,60%,167.0,278.0,24%,,25.0,2.64,1.96,1.42,0.95,51%,31%,0.0,12:39,123.0,74%,13.0,8%,31.0,19%,104.0,62%,37.0,16%,37.0,22%,2.0,10%,5.0,24%,14.0,67%,https://www.ufc.com/athlete/allan-nascimento,Flyweight,94.8051948051948,38.961038961038966,24.675324675324674,25.0,6.153846153846154,51.94805194805194,70.12987012987013,23.376623376623375
AMIR ALBAZI,17-2-0,5.0,9.0,9.0,35%,235.0,676.0,32%,3.0,25.0,2.72,3.71,1.39,0.52,62%,50%,0.35,14:25,202.0,86%,3.0,1%,30.0,13%,162.0,69%,40.0,17%,33.0,14%,5.0,29%,3.0,18%,9.0,53%,https://www.ufc.com/athlete/amir-albazi,Flyweight,14.285714285714285,90.25974025974025,29.87012987012987,40.714285714285715,26.153846153846157,50.649350649350644,61.038961038961034,67.53246753246754
ANDRE LIMA,11-0-0,5.0,,4.0,60%,268.0,446.0,75%,1.0,8.0,4.06,2.49,1.36,1.14,58%,75%,0.0,13:11,227.0,85%,27.0,10%,14.0,5%,128.0,48%,85.0,21%,85.0,32%,5.0,45%,5.0,45%,1.0,9%,https://www.ufc.com/athlete/andre-lima,Flyweight,94.8051948051948,72.72727272727273,70.12987012987013,92.14285714285714,80.76923076923077,49.35064935064935,76.62337662337663,23.376623376623375
ASU ALMABAYEV,22-3-0,3.0,9.0,4.0,54%,174.0,322.0,43%,2.0,58.0,2.16,1.75,4.66,1.49,52%,50%,0.19,13:25,104.0,60%,19.0,11%,51.0,29%,89.0,51%,43.0,25%,42.0,24%,3.0,14%,10.0,45%,9.0,41%,https://www.ufc.com/athlete/assu-almabayev,Flyweight,86.36363636363636,43.506493506493506,19.480519480519483,66.42857142857143,26.153846153846157,89.6103896103896,84.4155844155844,53.896103896103895
