fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ALEXANDER SOLDATKIN,0-1-0,,,,60%,12.0,20.0,50%,,2.0,1.16,1.35,1.45,0.0,26%,50%,0.0,10:20,4.0,33%,7.0,58%,1.0,8%,50.0,50%,50.0,50%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/alexander-soldatkin,Heavyweight,83.33333333333334,4.385964912280701,8.620689655172415,73.40425531914893,25.0,73.27586206896551,32.758620689655174,25.862068965517242
ALEXANDER VOLKOV,38-11-0,24.0,4.0,17.0,57%,1224.0,2135.0,67%,5.0,15.0,4.97,2.99,0.61,0.24,54%,72%,0.24,12:57,1002.0,82%,149.0,12%,73.0,6%,726.0,59%,287.0,23%,211.0,17%,24.0,63%,10.0,26%,4.0,11%,https://www.ufc.com/athlete/alexander-volkov,Heavyweight,70.17543859649122,68.42105263157895,75.86206896551724,87.2340425531915,60.526315789473685,50.0,75.86206896551724,58.620689655172406
ALVIN HINES,7-1-0,3.0,3.0,2.0,32%,82.0,259.0,10%,1.0,10.0,5.47,7.47,1.0,0.0,38%,,0.0,15:00,80.0,98%,2.0,2%,0.0,0%,68.0,68%,26.0,26%,43.0,6%,3.0,43%,1.0,14%,3.0,43%,https://www.ufc.com/athlete/alvin-hines,Heavyweight,3.508771929824561,15.789473684210526,81.03448275862068,27.659574468085108,,59.48275862068966,32.758620689655174,25.862068965517242
ANTE DELIJA,26-6-0,13.0,6.0,15.0,46%,13.0,28.0,,,,6.34,1.95,0.0,0.0,56%,,7.32,02:03,9.0,69%,0.0,0%,4.0,31%,100.0,100%,0.0,0%,50.0,0%,13.0,50%,7.0,27%,6.0,23%,https://www.ufc.com/athlete/ante-delija,Heavyweight,29.82456140350877,78.94736842105263,87.93103448275862,,,19.82758620689655,32.758620689655174,96.55172413793103
AUSTEN LANE,13-7-0,11.0,1.0,9.0,51%,108.0,212.0,29%,,14.0,2.74,2.23,1.52,0.0,41%,33%,0.38,04:56,80.0,74%,1.0,1%,27.0,25%,63.0,58%,26.0,24%,85.0,18%,11.0,85%,1.0,8%,1.0,8%,https://www.ufc.com/athlete/austen-lane,Heavyweight,57.89473684210527,22.807017543859647,36.206896551724135,46.808510638297875,10.526315789473683,75.86206896551724,32.758620689655174,69.82758620689656
BRANDO PERIČIĆ,5-1-0,4.0,1.0,5.0,59%,29.0,49.0,,,,15.13,1.57,0.0,0.0,67%,100%,0.0,01:55,11.0,38%,12.0,41%,6.0,21%,79.0,79%,14.0,7%,80.0,14%,4.0,80%,0.0,0%,1.0,20%,https://www.ufc.com/athlete/brando-pericic,Heavyweight,78.0701754385965,98.24561403508771,98.27586206896551,,92.10526315789474,19.82758620689655,32.758620689655174,25.862068965517242
BRANDON SAYLES,0-0-0,,,,,,,,,,,,,,,,,00:00,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/brandon-sayles,Heavyweight,,,,,,,,
CHANDLER COLE,0-1-0,,,,60%,15.0,25.0,0%,,1.0,2.45,3.59,0.0,0.0,27%,,0.0,06:08,15.0,100%,0.0,0%,0.0,0%,33.0,27%,40.0,33%,40.0,40%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/chandler-cole,Heavyweight,83.33333333333334,7.017543859649122,23.275862068965516,12.76595744680851,,19.82758620689655,32.758620689655174,25.862068965517242
CHRIS BARNETT,23-9-0,18.0,,8.0,47%,160.0,339.0,0%,,2.0,4.21,6.53,0.0,0.0,39%,33%,0.39,07:36,112.0,70%,11.0,7%,37.0,23%,96.0,60%,47.0,11%,78.0,29%,18.0,78%,5.0,22%,0.0,0%,https://www.ufc.com/athlete/chris-barnett,Heavyweight,33.33333333333333,17.543859649122805,60.3448275862069,12.76595744680851,10.526315789473683,19.82758620689655,32.758620689655174,73.27586206896551
CIRYL GANE,13-2-0,6.0,3.0,3.0,61%,899.0,1467.0,25%,,32.0,5.26,2.23,0.7,0.61,62%,44%,0.26,14:15,807.0,90%,65.0,7%,27.0,3%,391.0,43%,260.0,28%,260.0,29%,6.0,46%,4.0,31%,3.0,23%,https://www.ufc.com/athlete/ciryl-gane,Heavyweight,87.71929824561403,92.98245614035088,77.58620689655173,39.361702127659576,18.421052631578945,51.724137931034484,88.79310344827587,62.06896551724138
