fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ABDULRAKHMAN YAKHYAEV,1-0-0,,,,89%,16.0,18.0,,,,32.0,2.0,0.0,0.0,67%,100%,30.0,00:30,6.0,38%,1.0,6%,9.0,56%,81.0,81%,13.0,13%,6.0,6%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/abdulrakhman-yakhyaev,Light Heavyweight,100.0,95.23809523809523,100.0,,90.74074074074075,19.841269841269842,30.158730158730158,98.4126984126984
ALEKSA CAMUR,6-3-0,5.0,,3.0,57%,311.0,545.0,22%,1.0,9.0,4.73,4.26,0.46,0.0,54%,50%,0.23,13:10,220.0,71%,63.0,20%,28.0,9%,183.0,59%,94.0,30%,83.0,11%,5.0,83%,1.0,17%,0.0,0%,https://www.ufc.com/athlete/aleksa-camur,Light Heavyweight,76.98412698412699,66.66666666666666,69.84126984126983,29.347826086956523,21.296296296296298,52.38095238095239,30.158730158730158,48.41269841269841
ALEKSANDAR RAKIĆ,14-5-0,9.0,1.0,8.0,50%,476.0,950.0,24%,3.0,21.0,4.16,2.91,0.66,0.13,51%,86%,0.52,11:26,315.0,66%,46.0,10%,115.0,24%,254.0,53%,149.0,15%,149.0,31%,9.0,64%,4.0,29%,1.0,7%,https://www.ufc.com/athlete/aleksandar-rakic,Light Heavyweight,45.23809523809524,53.17460317460318,58.730158730158735,32.608695652173914,73.14814814814815,63.49206349206349,66.66666666666666,63.49206349206349
ALEX PEREIRA,13-3-0,11.0,,5.0,62%,685.0,1103.0,50%,,2.0,5.16,3.5,0.11,0.23,54%,79%,0.79,11:04,554.0,81%,72.0,11%,59.0,9%,323.0,47%,183.0,26%,183.0,27%,11.0,85%,2.0,15%,0.0,0%,https://www.ufc.com/athlete/alex-pereira,Light Heavyweight,87.3015873015873,66.66666666666666,79.36507936507937,81.52173913043478,62.96296296296296,39.682539682539684,74.60317460317461,79.36507936507937
ALONZO MENIFIELD,17-5-1,10.0,3.0,10.0,53%,568.0,1066.0,31%,,16.0,3.79,3.76,0.5,0.2,51%,78%,0.6,07:53,426.0,75%,76.0,13%,66.0,12%,463.0,82%,57.0,10%,59.0,8%,10.0,59%,4.0,24%,3.0,18%,https://www.ufc.com/athlete/alonzo-menifield,Light Heavyweight,59.523809523809526,53.17460317460318,44.44444444444444,47.82608695652174,61.111111111111114,54.761904761904766,73.01587301587301,73.01587301587301
ARTEM VAKHITOV,1-0-0,,,,85%,17.0,20.0,0%,,2.0,3.88,0.68,0.0,0.0,80%,100%,3.42,04:23,10.0,59%,6.0,35%,1.0,6%,59.0,59%,41.0,41%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/artem-vakhitov,Light Heavyweight,96.82539682539682,100.0,51.587301587301596,8.695652173913043,90.74074074074075,19.841269841269842,30.158730158730158,95.23809523809523
AZAMAT MURZAKANOV,15-0-0,11.0,1.0,9.0,58%,255.0,440.0,15%,1.0,13.0,4.93,2.86,0.58,0.0,62%,83%,1.74,08:38,171.0,67%,14.0,5%,70.0,27%,179.0,70%,65.0,25%,73.0,4%,11.0,73%,3.0,20%,1.0,7%,https://www.ufc.com/athlete/azamat-murzakanov,Light Heavyweight,80.15873015873017,92.06349206349206,73.01587301587301,21.73913043478261,69.44444444444444,60.317460317460316,30.158730158730158,92.06349206349206
BILLY ELEKANA,8-2-0,3.0,1.0,3.0,57%,55.0,96.0,25%,1.0,4.0,2.34,3.18,0.64,0.0,50%,,0.0,11:47,48.0,87%,0.0,0%,7.0,13%,65.0,65%,35.0,35%,38.0,0%,3.0,38%,4.0,50%,1.0,13%,https://www.ufc.com/athlete/billy-elekana,Light Heavyweight,76.98412698412699,46.82539682539682,15.873015873015872,35.869565217391305,,61.904761904761905,30.158730158730158,21.428571428571427
BOGDAN GUSKOV,18-3-0,15.0,3.0,13.0,51%,58.0,113.0,,,,3.87,3.4,0.0,0.0,50%,50%,0.0,15:00,49.0,84%,9.0,16%,0.0,0%,43.0,43%,43.0,43%,83.0,14%,15.0,83%,0.0,0%,3.0,17%,https://www.ufc.com/athlete/bogdan-guskov,Light Heavyweight,50.0,46.82539682539682,49.2063492063492,,21.296296296296298,19.841269841269842,30.158730158730158,21.428571428571427
BRENDSON RIBEIRO,17-9-0,9.0,7.0,11.0,43%,153.0,360.0,43%,,7.0,3.06,4.0,0.9,0.6,53%,18%,0.6,07:09,145.0,95%,3.0,2%,5.0,3%,91.0,59%,34.0,18%,53.0,22%,9.0,53%,1.0,6%,7.0,41%,https://www.ufc.com/athlete/brendson-ribeiro,Light Heavyweight,20.634920634920633,61.111111111111114,28.57142857142857,67.3913043478261,3.7037037037037033,66.66666666666666,85.71428571428571,73.01587301587301
BRUNO LOPES,14-2-0,6.0,5.0,7.0,43%,84.0,195.0,33%,5.0,15.0,2.81,3.38,2.51,0.0,58%,100%,0.0,07:28,57.0,68%,24.0,29%,3.0,4%,61.0,61%,23.0,23%,43.0,17%,6.0,43%,3.0,21%,5.0,36%,https://www.ufc.com/athlete/bruno-lopes,Light Heavyweight,20.634920634920633,84.12698412698413,23.809523809523807,52.17391304347826,90.74074074074075,85.71428571428571,30.158730158730158,21.428571428571427
BRUNO OLIVEIRA,0-1-0,,,,33%,7.0,21.0,,,,3.44,4.92,0.0,0.0,55%,,0.0,02:02,7.0,100%,0.0,0%,0.0,0%,29.0,29%,71.0,0%,71.0,71%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/bruno-oliveira,Light Heavyweight,7.936507936507936,74.60317460317461,35.714285714285715,,,19.841269841269842,30.158730158730158,21.428571428571427
CARLOS ULBERG,14-1-0,8.0,1.0,7.0,55%,536.0,967.0,60%,2.0,5.0,6.54,4.04,0.55,0.18,52%,86%,1.28,07:27,482.0,90%,23.0,4%,31.0,6%,322.0,60%,124.0,17%,124.0,23%,8.0,57%,5.0,36%,1.0,7%,https://www.ufc.com/athlete/carlos-ulberg,Light Heavyweight,69.84126984126983,57.936507936507944,93.65079365079364,91.30434782608695,73.14814814814815,58.730158730158735,71.42857142857143,90.47619047619048
CHRIS DAUKAUS,12-7-0,11.0,,8.0,50%,154.0,308.0,0%,,1.0,6.05,4.64,0.0,0.0,55%,100%,3.54,03:11,110.0,71%,13.0,8%,31.0,20%,133.0,86%,12.0,8%,92.0,6%,11.0,92%,1.0,8%,0.0,0%,https://www.ufc.com/athlete/chris-daukaus,Light Heavyweight,45.23809523809524,74.60317460317461,88.88888888888889,8.695652173913043,90.74074074074075,19.841269841269842,30.158730158730158,96.82539682539682
CODY BELISLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/cody-belisle,Light Heavyweight,,,,,,,,
DAKOTA WEIGHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/dakota-weigher,Light Heavyweight,,,,,,,,
DANIEL SPOHN,16-5-0,,,,49%,44.0,89.0,0%,,1.0,2.42,1.6,0.0,2.48,54%,29%,0.0,09:05,25.0,57%,11.0,25%,8.0,18%,75.0,75%,18.0,18%,44.0,7%,7.0,44%,5.0,31%,4.0,25%,https://www.ufc.com/athlete/daniel-spohn,Light Heavyweight,39.682539682539684,66.66666666666666,19.047619047619047,8.695652173913043,7.4074074074074066,19.841269841269842,96.82539682539682,21.428571428571427
DASHAWN BOATWRIGHT,3-2-0,,,,0%,0.0,1.0,,,,0.0,52.5,0.0,0.0,13%,,0.0,00:08,0.0,0,0.0,0,0.0,0,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/dashawn-boatwright,Light Heavyweight,1.5873015873015872,1.5873015873015872,1.5873015873015872,,,19.841269841269842,30.158730158730158,21.428571428571427
DEVIN CLARK,14-9-0,4.0,1.0,2.0,54%,588.0,1085.0,33%,13.0,85.0,3.03,3.24,2.17,0.08,44%,59%,0.23,11:24,306.0,52%,182.0,31%,100.0,17%,328.0,56%,160.0,27%,100.0,17%,4.0,31%,8.0,62%,1.0,8%,https://www.ufc.com/athlete/devin-clark,Light Heavyweight,64.28571428571429,26.190476190476193,25.396825396825395,52.17391304347826,34.25925925925926,81.74603174603175,60.317460317460316,48.41269841269841
DIYAR NURGOZHAY,10-2-0,6.0,2.0,7.0,50%,54.0,107.0,100%,2.0,3.0,3.04,2.99,2.54,0.0,61%,100%,0.85,05:55,49.0,91%,2.0,4%,3.0,6%,41.0,39%,41.0,41%,60.0,20%,6.0,60%,2.0,20%,2.0,20%,https://www.ufc.com/athlete/diyar-nurgozhay,Light Heavyweight,45.23809523809524,90.47619047619048,26.984126984126984,98.91304347826086,90.74074074074075,87.3015873015873,30.158730158730158,82.53968253968253
DOMINICK REYES,15-5-0,10.0,2.0,11.0,54%,554.0,1023.0,29%,1.0,7.0,5.39,3.49,0.29,0.29,50%,83%,1.02,07:21,406.0,73%,60.0,11%,88.0,16%,321.0,58%,134.0,24%,99.0,18%,10.0,67%,3.0,20%,2.0,13%,https://www.ufc.com/athlete/dominick-reyes,Light Heavyweight,64.28571428571429,46.82539682539682,82.53968253968253,42.391304347826086,69.44444444444444,44.44444444444444,79.36507936507937,87.3015873015873
DUSTIN JACOBY,21-9-1,14.0,,13.0,48%,980.0,2043.0,25%,2.0,16.0,5.37,4.02,0.33,0.0,58%,63%,0.58,10:08,844.0,86%,109.0,11%,27.0,3%,667.0,68%,170.0,15%,170.0,17%,14.0,67%,6.0,29%,1.0,5%,https://www.ufc.com/athlete/dustin-jacoby,Light Heavyweight,35.714285714285715,84.12698412698413,80.95238095238095,35.869565217391305,42.592592592592595,47.61904761904761,30.158730158730158,69.84126984126983
JESSE MURRAY,0-1-0,,,,29%,4.0,14.0,,,,2.38,7.72,0.0,0.0,43%,,0.0,01:41,4.0,100%,0.0,0%,0.0,0%,100.0,0%,100.0,100%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/dzhessi-myurrey,Light Heavyweight,4.761904761904762,23.015873015873016,17.46031746031746,,,19.841269841269842,30.158730158730158,21.428571428571427
CODY BRUNDAGE,11-7-1,6.0,3.0,7.0,52%,210.0,405.0,46%,1.0,28.0,2.2,2.72,2.05,0.63,49%,69%,0.47,06:48,132.0,63%,26.0,12%,52.0,25%,164.0,78%,25.0,10%,55.0,12%,6.0,55%,2.0,18%,3.0,27%,https://www.ufc.com/athlete/dzhonatan-pirs-1,Light Heavyweight,53.96825396825397,42.857142857142854,14.285714285714285,69.56521739130434,50.0,77.77777777777779,87.3015873015873,58.730158730158735
EVAN SWEESY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/evan-sweesy,Light Heavyweight,,,,,,,,
PHILIPE LINS,18-5-0,9.0,4.0,6.0,49%,241.0,491.0,33%,,21.0,3.8,3.59,1.65,0.0,46%,100%,0.24,10:35,202.0,84%,30.0,12%,9.0,4%,141.0,59%,55.0,23%,50.0,19%,9.0,50%,5.0,28%,4.0,22%,https://www.ufc.com/athlete/fuirihe-rinsu,Light Heavyweight,39.682539682539684,35.714285714285715,46.03174603174603,52.17391304347826,90.74074074074075,76.19047619047619,30.158730158730158,51.587301587301596
ZHANG MINGYANG,19-7-0,13.0,6.0,19.0,60%,152.0,252.0,,,,7.71,5.33,0.0,0.0,43%,75%,2.28,03:57,109.0,72%,7.0,5%,36.0,24%,96.0,63%,34.0,14%,68.0,22%,13.0,68%,0.0,0%,6.0,32%,https://www.ufc.com/athlete/guram-kutateladze-1,Light Heavyweight,84.12698412698413,23.015873015873016,95.23809523809523,,57.407407407407405,19.841269841269842,30.158730158730158,93.65079365079364
HARRISON GARCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/harrison-garcia,Light Heavyweight,,,,,,,,
HENRIQUE DA SILVA,12-4-0,,,,60%,237.0,393.0,14%,1.0,7.0,3.89,5.28,0.25,0.25,40%,22%,0.0,08:43,113.0,48%,83.0,35%,41.0,17%,123.0,52%,91.0,38%,92.0,10%,11.0,92%,0.0,0%,1.0,8%,https://www.ufc.com/athlete/henrique-da-silva,Light Heavyweight,84.12698412698413,18.253968253968253,53.96825396825397,19.565217391304348,5.555555555555555,42.857142857142854,77.77777777777779,21.428571428571427
HERDEM ALACABEK,0-0-0,,,,66%,56.0,85.0,50%,,4.0,3.84,6.66,2.06,0.0,23%,43%,0.0,14:34,24.0,43%,26.0,46%,6.0,11%,45.0,45%,41.0,41%,14.0,14%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/herdem-alacabek,Light Heavyweight,88.88888888888889,3.1746031746031744,47.61904761904761,81.52173913043478,16.666666666666664,79.36507936507937,30.158730158730158,21.428571428571427
IBO ASLAN,14-3-0,14.0,,12.0,47%,166.0,353.0,,,,5.09,3.47,0.0,0.0,60%,87%,0.92,06:31,149.0,90%,11.0,7%,6.0,4%,124.0,75%,27.0,9%,100.0,16%,14.0,100%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/ibo-aslan,Light Heavyweight,32.53968253968254,88.88888888888889,76.19047619047619,,75.92592592592592,19.841269841269842,30.158730158730158,85.71428571428571
ION CUTELABA,19-11-1,13.0,3.0,15.0,43%,661.0,1523.0,49%,6.0,79.0,4.26,3.34,3.77,0.1,47%,75%,0.19,08:10,392.0,59%,135.0,20%,134.0,20%,466.0,70%,117.0,18%,78.0,12%,13.0,68%,3.0,16%,3.0,16%,https://www.ufc.com/athlete/ion-cutelaba,Light Heavyweight,20.634920634920633,39.682539682539684,60.317460317460316,75.0,57.407407407407405,92.06349206349206,64.28571428571429,46.03174603174603
IVAN ERSLAN,14-6-0,10.0,1.0,11.0,46%,85.0,183.0,20%,1.0,5.0,2.55,5.01,0.45,0.0,54%,62%,0.0,11:06,79.0,93%,5.0,6%,1.0,1%,78.0,78%,16.0,16%,71.0,6%,10.0,71%,3.0,21%,1.0,7%,https://www.ufc.com/athlete/ivan-erslan,Light Heavyweight,30.158730158730158,66.66666666666666,22.22222222222222,25.0,38.88888888888889,50.79365079365079,30.158730158730158,21.428571428571427
IWO BARANIEWSKI,1-0-0,,,,67%,4.0,6.0,,,,12.0,6.0,0.0,0.0,33%,,45.0,00:20,1.0,25%,0.0,0%,3.0,75%,100.0,100%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/iwo-baraniewski,Light Heavyweight,90.47619047619048,11.11111111111111,98.4126984126984,,,19.841269841269842,30.158730158730158,100.0
