fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ABDUL-KAREEM AL-SELWADY,15-4-0,8.0,2.0,6.0,35%,107.0,309.0,31%,3.0,13.0,4.14,3.6,2.32,0.0,59%,20%,0.0,12:55,102.0,95%,5.0,5%,0.0,0%,60.0,56%,30.0,16%,53.0,28%,8.0,53%,5.0,33%,2.0,13%,https://www.ufc.com/athlete/abdul-kareem-al-selwady,Lightweight,6.2015503875969,78.90625,46.89922480620155,37.72727272727273,0.9174311926605505,77.51937984496125,24.031007751937985,20.155038759689923
AL IAQUINTA,14-7-1,7.0,1.0,,41%,774.0,1909.0,19%,8.0,43.0,4.06,4.53,0.63,0.24,61%,74%,0.55,12:42,715.0,92%,31.0,4%,28.0,4%,521.0,67%,145.0,19%,108.0,14%,7.0,50%,6.0,43%,1.0,7%,https://www.ufc.com/athlete/al-iaquinta,Lightweight,17.441860465116278,85.546875,44.18604651162791,22.727272727272727,62.84403669724771,38.759689922480625,58.139534883720934,76.74418604651163
ALEX REYES,13-5-0,9.0,4.0,11.0,47%,89.0,191.0,29%,,7.0,4.46,6.92,1.5,0.0,48%,,0.0,06:39,67.0,75%,21.0,24%,1.0,1%,44.0,44%,30.0,30%,69.0,26%,9.0,69%,0.0,0%,4.0,31%,https://www.ufc.com/athlete/alex-reyes,Lightweight,42.248062015503876,26.953125,58.139534883720934,31.818181818181817,,62.7906976744186,24.031007751937985,20.155038759689923
ALEXANDER HERNANDEZ,18-8-0,8.0,2.0,8.0,41%,739.0,1806.0,36%,4.0,36.0,4.31,4.5,1.14,0.09,59%,73%,0.52,10:05,620.0,84%,61.0,8%,58.0,8%,398.0,54%,236.0,32%,105.0,14%,8.0,44%,8.0,44%,2.0,11%,https://www.ufc.com/athlete/alexander-hernandez,Lightweight,17.441860465116278,78.90625,53.100775193798455,51.81818181818182,60.550458715596335,55.03875968992248,50.3875968992248,73.64341085271317
ANSHUL JUBLI,7-2-0,2.0,1.0,2.0,46%,238.0,516.0,18%,2.0,11.0,6.42,5.72,0.81,0.4,50%,64%,0.4,09:16,189.0,79%,17.0,7%,32.0,13%,160.0,67%,61.0,26%,29.0,7%,2.0,29%,4.0,57%,1.0,14%,https://www.ufc.com/athlete/anshul-jubli,Lightweight,37.2093023255814,33.203125,90.69767441860465,21.363636363636363,43.11926605504588,44.18604651162791,66.66666666666666,61.240310077519375
ANTHONY ROMERO,1-0-0,,,,53%,88.0,167.0,22%,,9.0,5.87,4.0,2.0,0.0,66%,100%,0.0,15:00,86.0,98%,1.0,1%,1.0,1%,58.0,58%,30.0,13%,30.0,30%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/anthony-romero,Lightweight,75.96899224806202,93.359375,85.65891472868216,25.90909090909091,95.41284403669725,72.86821705426357,24.031007751937985,20.155038759689923
ARMAN TSARUKYAN,22-3-0,9.0,5.0,8.0,49%,525.0,1073.0,37%,3.0,81.0,3.79,1.84,3.25,0.0,54%,75%,0.32,12:36,331.0,63%,40.0,8%,154.0,29%,343.0,65%,121.0,23%,61.0,12%,9.0,41%,8.0,36%,5.0,23%,https://www.ufc.com/athlete/arman-tsarukyan,Lightweight,51.93798449612403,53.90625,39.53488372093023,55.00000000000001,65.59633027522935,86.04651162790698,24.031007751937985,58.139534883720934
ASIKEERBAI JINENSIBIEKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ufc.com/athlete/asikeerbai-jinensibieke,Lightweight,,,,,,,,
AUSTIN TWEEDY,8-2-0,,,,67%,2.0,3.0,,,,4.29,6.43,0.0,0.0,,,0.0,00:28,2.0,100%,0.0,0%,0.0,0%,0.0,0%,100.0,0%,100.0,100%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/austin-tweedy,Lightweight,97.28682170542635,,51.93798449612403,,,14.34108527131783,24.031007751937985,20.155038759689923
BENEIL DARIUSH,23-6-1,5.0,8.0,8.0,49%,830.0,1687.0,38%,9.0,81.0,3.78,2.61,2.12,0.82,58%,82%,0.48,09:10,556.0,67%,127.0,15%,147.0,18%,503.0,61%,190.0,23%,137.0,17%,5.0,22%,10.0,43%,8.0,35%,https://www.ufc.com/athlete/beneil-dariush,Lightweight,51.93798449612403,73.828125,38.759689922480625,58.63636363636363,78.89908256880734,75.1937984496124,80.62015503875969,68.6046511627907
