fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ABUS MAGOMEDOV,28-7-1,14.0,7.0,15.0,48%,218.0,452.0,57%,,21.0,3.21,3.68,2.65,0.22,56%,100%,0.22,11:19,195.0,89%,7.0,3%,16.0,7%,124.0,57%,65.0,30%,50.0,13%,14.0,50%,7.0,25%,7.0,25%,https://www.ufc.com/athlete/abner-lloveras-1,Middleweight,40.099009900990104,75.49019607843137,34.31372549019608,85.0574712643678,93.82716049382715,79.41176470588235,50.98039215686274,50.49019607843137
ANDRE MUNIZ,24-8-0,4.0,15.0,15.0,50%,205.0,414.0,49%,3.0,55.0,2.04,2.33,4.02,1.19,51%,36%,0.0,09:09,164.0,80%,11.0,5%,30.0,15%,133.0,65%,38.0,19%,34.0,17%,4.0,17%,5.0,21%,15.0,63%,https://www.ufc.com/athlete/andre-muniz,Middleweight,50.99009900990099,56.86274509803921,18.627450980392158,74.13793103448276,8.641975308641975,90.19607843137256,87.25490196078431,21.568627450980394
ANDREY PULYAEV,10-3-0,5.0,2.0,5.0,60%,139.0,230.0,17%,,6.0,3.81,3.51,0.41,0.0,48%,64%,0.41,12:10,96.0,69%,29.0,21%,14.0,10%,95.0,68%,35.0,25%,56.0,6%,5.0,56%,2.0,22%,2.0,22%,https://www.ufc.com/athlete/andrey-pulyaev,Middleweight,85.64356435643565,38.72549019607843,51.9607843137255,20.689655172413794,37.65432098765432,34.31372549019608,22.54901960784314,67.64705882352942
ANTHONY HERNANDEZ,15-2-0,3.0,9.0,5.0,63%,575.0,914.0,49%,,111.0,4.59,2.53,6.46,1.79,50%,68%,0.12,10:27,253.0,44%,78.0,14%,244.0,42%,479.0,83%,63.0,11%,33.0,6%,3.0,20%,3.0,20%,9.0,60%,https://www.ufc.com/athlete/ansoni-herunantesu,Middleweight,93.56435643564357,50.0,69.11764705882352,74.13793103448276,51.23456790123457,94.11764705882352,94.11764705882352,45.588235294117645
ANTONIO TROCOLI,12-5-0,3.0,5.0,3.0,50%,23.0,46.0,11%,,9.0,1.29,5.79,0.84,0.84,24%,50%,0.0,05:56,18.0,78%,5.0,22%,0.0,0%,52.0,39%,52.0,52%,25.0,9%,3.0,25%,4.0,33%,5.0,42%,https://www.ufc.com/athlete/antonio-silva-0,Middleweight,50.99009900990099,3.431372549019608,11.76470588235294,14.942528735632186,18.51851851851852,45.09803921568628,73.52941176470588,21.568627450980394
ATEBA GAUTIER,9-1-0,8.0,,7.0,62%,95.0,154.0,,,,6.93,2.19,0.0,0.0,52%,91%,3.28,04:34,53.0,56%,14.0,15%,28.0,29%,85.0,85%,14.0,14%,89.0,1%,8.0,89%,1.0,11%,0.0,0%,https://www.ufc.com/athlete/ateba-gautier,Middleweight,91.58415841584159,63.23529411764706,91.17647058823529,,85.80246913580247,13.23529411764706,22.54901960784314,94.11764705882352
AZAMAT BEKOEV,20-3-0,8.0,8.0,10.0,61%,44.0,72.0,33%,1.0,3.0,7.59,4.48,2.59,0.0,47%,100%,5.17,02:54,20.0,45%,5.0,11%,19.0,43%,84.0,84%,11.0,11%,40.0,5%,8.0,40%,4.0,20%,8.0,40%,https://www.ufc.com/athlete/azamat-bekoev,Middleweight,89.10891089108911,34.80392156862745,94.11764705882352,47.12643678160919,93.82716049382715,78.43137254901961,22.54901960784314,96.07843137254902
BAISANGUR SUSURKAEV,10-0-0,8.0,,7.0,58%,46.0,79.0,29%,2.0,7.0,4.56,2.88,2.98,1.49,58%,100%,1.49,05:03,29.0,63%,5.0,11%,12.0,26%,61.0,61%,22.0,22%,80.0,17%,8.0,80%,1.0,10%,1.0,10%,https://www.ufc.com/athlete/baisangur-susurkaev,Middleweight,77.22772277227723,81.86274509803921,67.64705882352942,36.206896551724135,93.82716049382715,83.33333333333334,92.15686274509804,91.17647058823529
BO NICKAL,7-1-0,2.0,4.0,5.0,59%,85.0,143.0,53%,1.0,15.0,2.36,2.11,3.34,2.92,59%,100%,0.42,05:08,67.0,79%,6.0,7%,12.0,14%,54.0,54%,24.0,24%,29.0,22%,2.0,29%,1.0,14%,4.0,57%,https://www.ufc.com/athlete/bo-nickal,Middleweight,81.1881188118812,84.80392156862744,21.568627450980394,82.75862068965517,93.82716049382715,87.25490196078431,99.01960784313727,69.6078431372549
BRAD TAVARES,21-12-0,5.0,2.0,5.0,43%,1195.0,2758.0,27%,16.0,63.0,3.42,3.36,0.73,0.0,55%,81%,0.17,12:56,1018.0,85%,136.0,11%,41.0,3%,709.0,59%,290.0,16%,290.0,24%,5.0,24%,14.0,67%,2.0,10%,https://www.ufc.com/athlete/brad-tavares,Middleweight,25.247524752475247,72.54901960784314,41.17647058823529,32.758620689655174,69.1358024691358,40.68627450980392,22.54901960784314,48.03921568627451
