fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ABUBAKAR NURMAGOMEDOV,17-4-1,6.0,4.0,8.0,53%,133.0,250.0,22%,1.0,18.0,2.78,2.61,1.25,0.0,65%,89%,0.0,11:58,119.0,89%,13.0,10%,1.0,1%,90.0,68%,23.0,15%,35.0,17%,6.0,35%,7.0,41%,4.0,24%,https://www.ufc.com/athlete/abubakar-nurmagomedov,Welterweight,73.11320754716981,94.76190476190476,18.867924528301888,21.27659574468085,82.8125,56.132075471698116,23.58490566037736,15.566037735849056
ADAM FUGITT,10-5-0,4.0,3.0,3.0,46%,188.0,406.0,25%,1.0,20.0,4.59,4.54,1.83,0.0,51%,50%,0.0,08:11,171.0,91%,11.0,6%,6.0,3%,84.0,45%,72.0,38%,57.0,17%,4.0,57%,0.0,0%,3.0,43%,https://www.ufc.com/athlete/adam-fugitt,Welterweight,42.45283018867924,40.95238095238095,61.32075471698113,27.659574468085108,20.3125,70.28301886792453,23.58490566037736,15.566037735849056
ALEX MORONO,24-12-0,6.0,7.0,11.0,40%,1356.0,3364.0,24%,,25.0,5.03,4.78,0.33,0.33,56%,48%,0.28,11:44,1203.0,89%,97.0,7%,56.0,4%,1077.0,79%,183.0,13%,96.0,7%,6.0,25%,11.0,46%,7.0,29%,https://www.ufc.com/athlete/alex-morono,Welterweight,14.150943396226415,65.71428571428571,75.0,23.93617021276596,13.541666666666666,28.30188679245283,60.37735849056604,48.113207547169814
AMIRAN GOGOLADZE,0-1-0,,,,67%,2.0,3.0,0%,,1.0,1.64,0.82,0.0,0.0,,,0.0,01:13,2.0,100%,0.0,0%,0.0,0%,100.0,0%,100.0,100%,0.0,0%,0.0,0%,0.0,0%,0.0,0%,https://www.ufc.com/athlete/amiran-gogoladze,Welterweight,95.75471698113208,,6.60377358490566,7.446808510638298,,12.264150943396226,23.58490566037736,15.566037735849056
ANDRE FIALHO,16-8-0,13.0,1.0,12.0,42%,202.0,486.0,100%,,1.0,3.3,6.26,0.25,0.0,46%,67%,0.49,08:44,165.0,82%,32.0,16%,5.0,2%,140.0,69%,39.0,19%,81.0,11%,13.0,81%,2.0,13%,1.0,6%,https://www.ufc.com/athlete/andre-fialho,Welterweight,21.69811320754717,21.428571428571427,28.30188679245283,96.80851063829788,51.041666666666664,26.41509433962264,23.58490566037736,59.43396226415094
ANDREAS GUSTAFSSON,12-3-0,8.0,2.0,3.0,72%,141.0,196.0,59%,8.0,17.0,5.82,3.63,6.19,0.0,46%,100%,0.62,08:05,35.0,25%,85.0,60%,21.0,15%,94.0,67%,33.0,23%,67.0,10%,8.0,67%,2.0,17%,2.0,17%,https://www.ufc.com/athlete/andreas-gustafsson,Welterweight,98.11320754716981,21.428571428571427,85.84905660377359,89.36170212765957,94.79166666666666,99.05660377358491,23.58490566037736,69.81132075471697
AUSTIN VANDERFORD,13-3-0,5.0,3.0,4.0,59%,74.0,125.0,36%,2.0,14.0,3.04,2.71,3.08,1.23,48%,100%,0.0,08:06,26.0,35%,3.0,4%,45.0,61%,88.0,88%,7.0,7%,38.0,5%,5.0,38%,5.0,38%,3.0,23%,https://www.ufc.com/athlete/austin-vanderford,Welterweight,87.26415094339622,26.666666666666668,21.69811320754717,49.46808510638298,94.79166666666666,86.32075471698113,94.33962264150944,15.566037735849056
AXEL SOLA,11-0-1,6.0,1.0,,43%,45.0,105.0,25%,1.0,4.0,3.74,2.74,1.25,0.0,76%,,1.25,12:02,36.0,80%,5.0,11%,4.0,9%,89.0,89%,11.0,11%,55.0,0%,6.0,55%,4.0,36%,1.0,9%,https://www.ufc.com/athlete/axel-sola,Welterweight,26.88679245283019,100.0,37.735849056603776,27.659574468085108,,56.132075471698116,23.58490566037736,90.56603773584906
BASSIL HAFEZ,9-4-1,1.0,4.0,4.0,38%,151.0,395.0,24%,3.0,25.0,3.71,5.68,2.21,0.0,42%,50%,0.0,13:33,142.0,94%,6.0,4%,3.0,2%,128.0,85%,12.0,7%,13.0,8%,1.0,13%,3.0,38%,4.0,50%,https://www.ufc.com/athlete/bassil-hafez,Welterweight,9.433962264150944,12.857142857142856,36.79245283018868,23.93617021276596,20.3125,79.24528301886792,23.58490566037736,15.566037735849056
BELAL MUHAMMAD,24-4-0,5.0,1.0,,43%,1373.0,3158.0,39%,15.0,119.0,4.46,3.78,2.24,0.15,56%,90%,0.0,15:23,1186.0,86%,68.0,5%,119.0,9%,1069.0,78%,189.0,14%,115.0,8%,5.0,21%,18.0,75%,1.0,4%,https://www.ufc.com/athlete/belal-muhammad,Welterweight,26.88679245283019,65.71428571428571,56.132075471698116,57.446808510638306,85.41666666666666,80.18867924528303,52.83018867924528,15.566037735849056
