fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
AILIN PEREZ,12-2-0,4.0,2.0,4.0,55%,229.0,417.0,47%,1.0,49.0,3.1,1.79,4.68,0.2,56%,67%,0.2,12:18,115,50%,34,15%,80,35%,137,60%,47,21%,45,20%,4,33%,6,50%,2,17%,https://www.ufc.com/athlete/ailin-perez,Women's Bantamweight,85.9375,60.9375,32.8125,70.3125,51.724137931034484,96.875,53.125,79.6875
ALICE PEREIRA,6-1-0,4.0,1.0,4.0,32%,37.0,117.0,0%,,3.0,2.47,3.0,0.0,0.0,73%,100%,0.0,15:00,35,95%,2,5%,0,0%,78,78%,19,19%,67,3%,4,67%,1,17%,1,17%,https://www.ufc.com/athlete/alice-pereira,Women's Bantamweight,9.375,100.0,12.5,9.375,94.82758620689656,9.375,23.4375,29.6875
BIA MESQUITA,0-0-0,,,,,,,,,,,,,,,,,00:00,0,0,0,0,0,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/bia-mesquita-bia-mesquita,Women's Bantamweight,,,,,,,,
CHELSEA CHANDLER,6-4-0,2.0,1.0,2.0,45%,184.0,408.0,60%,,5.0,3.55,4.44,0.87,0.0,40%,29%,0.0,10:21,111,60%,39,21%,34,18%,128,70%,50,27%,33,3%,2,33%,3,50%,1,17%,https://www.ufc.com/athlete/chelsea-chandler,Women's Bantamweight,46.875,6.25,40.625,93.75,6.896551724137931,50.0,23.4375,29.6875
CLAUDIA LEITE,0-1-0,,,,48%,19.0,40.0,25%,,4.0,1.27,1.73,1.0,1.0,57%,,0.0,15:00,15,79%,2,11%,2,11%,37,11%,53,37%,53,53%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/claudia-leite,Women's Bantamweight,59.375,67.1875,3.125,28.125,,53.125,90.625,29.6875
DARIA ZHELEZNIAKOVA,10-2-0,5.0,,2.0,42%,161.0,385.0,100%,,1.0,4.75,2.83,0.44,0.0,69%,50%,0.0,11:17,153,95%,7,4%,1,1%,107,66%,54,34%,50,0%,5,50%,5,50%,0,0%,https://www.ufc.com/athlete/daria-zheleznyakova,Women's Bantamweight,25.0,93.75,81.25,100.0,17.24137931034483,31.25,23.4375,29.6875
GISELE MOREIRA,0-0-0,,,,42%,89.0,210.0,57%,,7.0,5.93,6.33,4.0,0.0,49%,,0.0,15:00,81,91%,4,4%,4,4%,64,64%,20,16%,20,20%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/gisele-moreira,Women's Bantamweight,25.0,29.6875,100.0,89.0625,,93.75,23.4375,29.6875
HAILEY COWAN,7-4-0,2.0,2.0,1.0,42%,92.0,218.0,36%,2.0,11.0,2.5,2.79,1.63,0.0,34%,80%,0.0,12:17,53,58%,26,28%,13,14%,59,59%,37,37%,29,4%,2,29%,3,43%,2,29%,https://www.ufc.com/athlete/hailey-cowan,Women's Bantamweight,25.0,3.125,15.625,45.3125,75.86206896551724,65.625,23.4375,29.6875
IRENE ALDANA,15-8-0,8.0,3.0,9.0,40%,1065.0,2667.0,50%,2.0,4.0,5.19,6.64,0.15,0.22,56%,78%,0.22,14:39,948,89%,55,5%,62,6%,743,70%,177,14%,177,17%,8,53%,4,27%,3,20%,https://www.ufc.com/athlete/irene-aldana,Women's Bantamweight,18.75,60.9375,84.375,79.6875,72.41379310344827,20.3125,56.25,85.9375
IRINA ALEKSEEVA,5-3-0,1.0,2.0,3.0,39%,129.0,330.0,20%,,5.0,4.01,5.03,0.47,0.47,46%,67%,0.47,10:44,119,92%,8,6%,2,2%,65,50%,39,19%,39,30%,1,20%,2,40%,2,40%,https://www.ufc.com/athlete/irina-alekseeva,Women's Bantamweight,15.625,18.75,56.25,23.4375,51.724137931034484,34.375,71.875,96.875
JACQUELINE CAVALCANTI,9-1-0,3.0,,2.0,46%,344.0,745.0,0%,,2.0,5.73,3.32,0.0,0.0,70%,85%,0.0,15:00,328,95%,16,5%,0,0%,174,51%,116,16%,116,34%,3,33%,6,67%,0,0%,https://www.ufc.com/athlete/jacqueline-cavalcanti,Women's Bantamweight,51.5625,96.875,93.75,9.375,82.75862068965517,9.375,23.4375,29.6875
JOSELYNE EDWARDS,16-6-0,8.0,3.0,8.0,54%,659.0,1227.0,39%,1.0,31.0,4.73,3.28,1.29,0.54,50%,61%,0.11,12:41,565,86%,51,8%,43,7%,250,38%,206,31%,203,31%,8,50%,5,31%,3,19%,https://www.ufc.com/athlete/joselyne-edwards,Women's Bantamweight,81.25,35.9375,78.125,62.5,37.93103448275862,59.375,75.0,71.875
JOSIANE NUNES,10-4-0,7.0,,3.0,43%,382.0,887.0,0%,,1.0,5.65,5.76,0.0,0.0,52%,58%,0.67,11:17,330,86%,43,11%,9,2%,254,66%,85,22%,70,11%,7,70%,3,30%,0,0%,https://www.ufc.com/athlete/josiane-nunes,Women's Bantamweight,32.8125,48.4375,90.625,9.375,29.310344827586203,9.375,23.4375,100.0
