fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ALEXA GRASSO,16-5-1,4.0,2.0,5.0,41%,909.0,2202.0,35%,1.0,17.0,4.11,3.73,0.41,0.61,58%,55%,0.07,15:48,739,81%,142,16%,28,3%,562,62%,174,19%,173,19%,4,25%,10,63%,2,13%,https://www.ufc.com/athlete/alexa-grasso,Women's Flyweight,31.818181818181817,69.31818181818183,59.09090909090909,48.80952380952381,31.25,20.454545454545457,72.72727272727273,57.95454545454546
BROGAN WALKER,8-5-0,,1.0,1.0,32%,81.0,253.0,75%,,4.0,1.84,3.32,1.02,0.0,47%,11%,0.0,14:39,66,81%,10,12%,5,6%,42,42%,32,26%,32,32%,0,0%,7,88%,1,13%,https://www.ufc.com/athlete/brogan-walker,Women's Flyweight,2.272727272727273,14.772727272727273,4.545454545454546,91.66666666666666,3.75,50.0,13.636363636363635,27.27272727272727
CARLI JUDICE,5-2-0,5.0,,4.0,52%,463.0,885.0,25%,2.0,8.0,10.73,8.08,0.7,0.0,55%,78%,0.7,10:48,392,85%,66,14%,5,1%,293,63%,141,30%,100,6%,5,100%,0,0%,0,0%,https://www.ufc.com/athlete/carli-judice,Women's Flyweight,78.4090909090909,54.54545454545454,97.72727272727273,25.0,80.0,32.95454545454545,13.636363636363635,94.31818181818183
CASEY O'NEILL,10-2-0,3.0,2.0,1.0,53%,652.0,1231.0,35%,8.0,23.0,7.89,5.65,1.45,0.73,57%,70%,0.0,11:49,525,81%,31,5%,96,15%,503,77%,91,14%,58,9%,3,30%,5,50%,2,20%,https://www.ufc.com/athlete/casey-oneill,Women's Flyweight,84.0909090909091,63.63636363636363,95.45454545454545,48.80952380952381,62.5,63.63636363636363,81.81818181818183,27.27272727272727
CHELSEA HACKETT,0-1-0,,,,51%,25.0,49.0,,,,2.58,4.85,0.0,0.0,47%,57%,0.0,09:41,22,88%,3,12%,0,0%,52,52%,28,20%,28,28%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/chelsea-hackett,Women's Flyweight,72.72727272727273,14.772727272727273,11.363636363636363,,35.0,5.681818181818182,13.636363636363635,27.27272727272727
CORINNE LAFRAMBOISE,0-1-0,,,,68%,15.0,22.0,100%,,1.0,3.16,1.89,3.16,0.0,47%,33%,0.0,04:45,4,27%,0,0%,11,73%,100,100%,0,0%,0,0%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/corinne-laframboise,Women's Flyweight,100.0,14.772727272727273,29.545454545454547,98.80952380952381,10.0,97.72727272727273,13.636363636363635,27.27272727272727
CORTNEY CASEY,10-10-0,3.0,4.0,7.0,39%,816.0,2085.0,31%,3.0,16.0,4.29,4.0,0.39,0.47,55%,40%,0.0,12:41,640,78%,95,12%,81,10%,558,68%,171,11%,171,21%,3,21%,7,50%,4,29%,https://www.ufc.com/athlete/cortney-casey,Women's Flyweight,23.863636363636363,54.54545454545454,63.63636363636363,38.095238095238095,12.5,18.181818181818183,61.36363636363637,27.27272727272727
DIONE BARBOSA,8-4-0,,4.0,4.0,46%,122.0,268.0,42%,2.0,19.0,2.27,2.45,2.23,1.95,66%,50%,0.0,10:46,107,88%,10,8%,5,4%,76,62%,33,27%,13,11%,0,0%,4,50%,4,50%,https://www.ufc.com/athlete/dione-barbosa,Women's Flyweight,51.13636363636363,100.0,6.8181818181818175,64.28571428571429,21.25,84.0909090909091,100.0,27.27272727272727
EDUARDA MOURA,12-1-0,4.0,5.0,7.0,38%,171.0,451.0,38%,3.0,37.0,3.04,2.47,3.73,0.27,62%,80%,0.0,11:15,101,59%,8,5%,62,36%,147,86%,13,6%,33,8%,4,33%,3,25%,5,42%,https://www.ufc.com/athlete/eduarda-moura,Women's Flyweight,15.909090909090908,84.0909090909091,20.454545454545457,52.38095238095239,83.75,100.0,40.909090909090914,27.27272727272727
ERIN BLANCHFIELD,13-2-0,2.0,4.0,3.0,44%,591.0,1332.0,32%,10.0,44.0,5.24,4.21,1.86,0.8,59%,80%,0.0,14:07,445,75%,42,7%,104,18%,416,70%,96,16%,79,13%,2,15%,7,54%,4,31%,https://www.ufc.com/athlete/erin-blanchfield,Women's Flyweight,39.77272727272727,72.72727272727273,84.0909090909091,41.66666666666667,83.75,72.72727272727273,84.0909090909091,27.27272727272727
