fighter_name,fight_record,wins_by_knockout,wins_by_submission,first_round_finishes,striking_accuracy,sig_strikes_landed,sig_strikes_attempted,takedown_accuracy,takedowns_landed,takedowns_attempted,sig_strikes_landed_per_min,sig_strikes_absorbed_per_min,takedown_avg_per_15min,submission_avg_per_15min,sig_strike_defense,takedown_defense,knockdown_avg,average_fight_time,sig_str_pos_standing_count,sig_str_pos_standing_pct,sig_str_pos_clinch_count,sig_str_pos_clinch_pct,sig_str_pos_ground_count,sig_str_pos_ground_pct,sig_str_target_head_count,sig_str_target_head_pct,sig_str_target_body_count,sig_str_target_body_pct,sig_str_target_leg_count,sig_str_target_leg_pct,win_ko_count,win_ko_pct,win_dec_count,win_dec_pct,win_sub_count,win_sub_pct,source_url,division,Striking accuracy_pct,Striking defense_pct,Striking volume_pct,Takedown accuracy_pct,Takedown defense_pct,Takedown volume_pct,Submission threat_pct,Knockout power_pct
ALEXIA THAINARA,13-1-0,,7.0,4.0,41%,156.0,382.0,60%,1.0,15.0,4.52,2.46,3.91,1.74,65%,100%,0.0,11:31,123,79%,14,9%,19,12%,81,52%,44,20%,44,28%,1,8%,5,38%,7,54%,https://www.ufc.com/athlete/alexia-thainara,Women's Strawweight,41.228070175438596,100.0,68.42105263157895,77.0,93.75,96.49122807017544,96.49122807017544,30.701754385964914
ALICE ARDELEAN,10-7-0,4.0,4.0,,44%,303.0,681.0,50%,2.0,6.0,6.73,5.04,1.0,0.0,58%,88%,0.0,15:00,291,96%,8,3%,4,1%,216,71%,53,17%,40,11%,4,40%,2,20%,4,40%,https://www.ufc.com/athlete/alice-ardelean,Women's Strawweight,51.75438596491229,64.91228070175438,96.49122807017544,59.0,85.41666666666666,45.614035087719294,22.807017543859647,30.701754385964914
AMANDA LEMOS,15-5-1,8.0,3.0,8.0,55%,403.0,731.0,63%,1.0,16.0,2.75,3.24,1.02,0.72,45%,64%,0.61,10:28,281,70%,56,14%,66,16%,258,64%,86,21%,59,15%,8,53%,4,27%,3,20%,https://www.ufc.com/athlete/amanda-lemos,Women's Strawweight,84.21052631578947,15.789473684210526,28.07017543859649,82.0,41.66666666666667,47.368421052631575,78.94736842105263,94.73684210526315
AMANDA RIBAS,13-7-0,4.0,4.0,5.0,40%,686.0,1717.0,52%,2.0,42.0,4.26,3.29,2.05,0.56,60%,82%,0.09,12:23,589,86%,36,5%,61,9%,421,61%,142,18%,142,21%,4,31%,5,38%,4,31%,https://www.ufc.com/athlete/amanda-ribas,Women's Strawweight,34.21052631578947,77.19298245614034,59.64912280701754,62.0,80.20833333333334,72.80701754385966,73.68421052631578,65.78947368421053
ANGELA HILL,18-15-0,5.0,,1.0,50%,2186.0,4346.0,30%,3.0,69.0,5.43,4.92,0.78,0.15,61%,74%,0.11,14:23,1604,73%,503,23%,79,4%,1303,60%,705,32%,178,8%,5,28%,12,67%,1,6%,https://www.ufc.com/athlete/angela-hill,Women's Strawweight,72.80701754385966,83.33333333333334,82.45614035087719,31.0,61.458333333333336,36.84210526315789,51.75438596491229,69.2982456140351
ARIANE CARNELOSSI,15-3-0,9.0,2.0,4.0,40%,157.0,395.0,56%,,9.0,2.87,4.74,1.37,0.27,45%,14%,0.0,10:55,112,71%,30,19%,15,10%,112,71%,25,13%,64,16%,9,64%,3,21%,2,14%,https://www.ufc.com/athlete/ariane-carnelossi,Women's Strawweight,34.21052631578947,15.789473684210526,33.33333333333333,70.0,2.083333333333333,56.14035087719298,61.40350877192983,30.701754385964914
ASHLEY YODER,8-9-0,,4.0,,39%,564.0,1440.0,28%,4.0,43.0,3.42,4.13,1.09,0.55,47%,67%,0.09,15:00,423,75%,48,9%,93,16%,364,65%,136,24%,64,11%,0,0%,4,50%,4,50%,https://www.ufc.com/athlete/ashley-yoder,Women's Strawweight,26.31578947368421,24.561403508771928,49.122807017543856,28.000000000000004,47.91666666666667,49.122807017543856,71.9298245614035,65.78947368421053
BRUNA BRASIL,11-5-1,3.0,2.0,,59%,214.0,362.0,67%,,12.0,2.77,4.14,1.55,0.0,48%,54%,0.19,13:11,156,73%,48,22%,10,5%,91,43%,91,43%,32,15%,3,27%,6,55%,2,18%,https://www.ufc.com/athlete/bruna-brasil,Women's Strawweight,94.73684210526315,26.31578947368421,29.82456140350877,87.0,27.083333333333332,57.89473684210527,22.807017543859647,79.82456140350878
CAROL FORO,1-0-0,,,,55%,117.0,212.0,,,,7.8,7.67,0.0,0.0,58%,100%,3.0,15:00,108,92%,9,8%,0,0%,57,44%,57,49%,9,8%,0,0%,0,0%,0,0%,https://www.ufc.com/athlete/carol-foro,Women's Strawweight,84.21052631578947,64.91228070175438,100.0,,93.75,11.403508771929824,22.807017543859647,100.0
CYNTHIA CALVILLO,9-6-1,2.0,3.0,2.0,38%,736.0,1916.0,44%,5.0,45.0,4.41,4.12,1.8,0.81,64%,78%,0.0,12:50,639,87%,19,3%,78,11%,394,54%,224,30%,118,16%,2,22%,4,44%,3,33%,https://www.ufc.com/athlete/cynthia-calvillo,Women's Strawweight,22.807017543859647,97.36842105263158,64.91228070175438,55.00000000000001,68.75,59.64912280701754,82.45614035087719,30.701754385964914
